# Non-operative normalized snapshot of libsixel-ci/srv/misc/jobs.tsv.
# job_name	runner_profile
Autotools-cygwin64-gcc	windows-cygwin
Autotools-debian-bookworm-x86_64-gcc	linux-docker-autotools
Autotools-debian-hurd-20260314-amd64-gcc	debian-hurd-amd64-direct
Autotools-dragonflybsd-6.4.2-x86-64	dragonflybsd-direct-ide
Autotools-freebsd-14.3-x86_64	freebsd
Autotools-freebsd-14.3-x86_64-amalgamated_lib	freebsd
Autotools-haiku-r1beta5-x86-64	haiku-direct
Autotools-macos-14-x86_64-clang-installcheck	macos-intel-autotools-installcheck
Autotools-macos-x86_64-gcc-perl-php-python-ruby	macos-homebrew-gcc-autotools
Autotools-macos-x86_64-gcc-png-jpeg-tiff-webp-svg-lcms2	macos-homebrew-gcc-autotools
Autotools-msys2-mingw64-busybox-w64-ash	windows-msys2-mingw64
Autotools-msys2-msys-msvc	windows-msys2-mingw64-msvc
Autotools-netbsd-10.1-x86_64	netbsd-direct
Autotools-omnios-r151056-x86_64	omnios-direct-e1000
Autotools-openbsd-7.8-x86-64	openbsd
Autotools-openindiana-202510-x86_64	openindiana-direct-e1000
Autotools-openvms-9.2-3-x86_64	openvms-gnv
Autotools-solaris-11.4-x86_64	solaris-direct-e1000-root-bootstrap
Autotools-ubuntu-24.04-x86_64-clang-ASan-UBSan	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-clang-MSan	linux-docker-ubuntu-autotools-msan
Autotools-ubuntu-24.04-x86_64-clang-TSan	linux-docker-ubuntu-autotools-tsan
Autotools-ubuntu-24.04-x86_64-clang-static-analyze	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-gcc-static-analyze	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-pcc-shared	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-pcc-static	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-tcc-amalgamated_lib	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-tcc-amalgamated_tools	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-tcc-no-threads	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-tcc-shared	linux-docker-ubuntu-autotools
Autotools-ubuntu-24.04-x86_64-tcc-static	linux-docker-ubuntu-autotools
Meson-cmd-x86_64-msvc-x86_64	windows-cmd-msvc
Meson-debian-bookworm-x86_64-gcc	linux-docker-meson
Meson-debian-hurd-20260314-amd64-gcc	debian-hurd-amd64-direct
Meson-dragonflybsd-6.4.2-x86-64	dragonflybsd-direct-ide
Meson-freebsd-14.3-x86_64-amalgamated_lib	freebsd
Meson-freebsd-14.3-x86_64-unity	freebsd
Meson-haiku-r1beta5-x86-64	haiku-direct
Meson-macos-14-x86_64-clang-install	macos-intel-meson-install
Meson-macos-x86_64-gcc-perl-php-python-ruby	macos-homebrew-gcc-meson
Meson-macos-x86_64-gcc-png-jpeg-tiff-webp-svg-lcms2	macos-homebrew-gcc-meson
Meson-netbsd-10.1-x86_64	netbsd-direct
Meson-omnios-r151056-x86_64	omnios-direct-e1000
Meson-openbsd-7.8-x86-64	openbsd
Meson-openindiana-202510-x86_64	openindiana-direct-e1000
Meson-solaris-11.4-x86_64	solaris-direct-e1000-root-bootstrap
Meson-ubuntu-24.04-x86_64-clang-ASan-UBSan	linux-docker-ubuntu-meson
Meson-ubuntu-24.04-x86_64-clang-MSan	linux-docker-ubuntu-meson-msan
Meson-ubuntu-24.04-x86_64-clang-TSan	linux-docker-ubuntu-meson-tsan
Meson-ubuntu-24.04-x86_64-pcc-shared	linux-docker-ubuntu-meson
Meson-ubuntu-24.04-x86_64-pcc-static	linux-docker-ubuntu-meson
