case,label,requested_precision,clustering_colorspace,working_colorspace,loader_kind,source_format,work_format,scale_output_format,resize_mode,resize_input_format,loader_cms_target,loader_prefer_8bit,loader_pixelformat,output_sha256,sixel_bytes,command
gamma-8bit,"Gamma, requested 8-bit",8bit,gamma,gamma,plain,rgb888,rgb888,rgb888,1,rgb888,,,,09c5f586585037eb0d75c62f81e8002f036e41bafaa4af2ff2b0fe19b0cdba81,255637,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
gamma-float32,"Gamma, requested float32",float32,gamma,gamma,plain,rgb888,rgb-f32,rgb888,3,rgb888,,,,1b21f7e55518d2315da23c341cdce0bb02bef2c72ba5aa06331f2cea3bda8f1d,255299,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
working-linear-8bit,"Linear, requested 8-bit",8bit,linear,linear,plain,rgb888,linear-f32,rgb888,3,rgb888,,,,0eee9558be453f7c43fb89955c43f6b3efee6759c52f44ddcb0d482f87fee369,261994,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xlinear -Wlinear --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
working-linear-float32,"Linear, requested float32",float32,linear,linear,plain,rgb888,linear-f32,rgb888,3,rgb888,,,,0eee9558be453f7c43fb89955c43f6b3efee6759c52f44ddcb0d482f87fee369,261994,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xlinear -Wlinear --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
working-oklab-8bit,"Oklab, requested 8-bit",8bit,oklab,oklab,plain,rgb888,oklab-f32,rgb888,3,rgb888,,,,e005c8607af99adf27264914c3bd7752c810c5a6441e3736e2397045067cb860,280271,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xoklab -Woklab --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
working-oklab-float32,"Oklab, requested float32",float32,oklab,oklab,plain,rgb888,oklab-f32,rgb888,3,rgb888,,,,e005c8607af99adf27264914c3bd7752c810c5a6441e3736e2397045067cb860,280271,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xoklab -Woklab --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
cms-gamma-byte,"CMS gamma, prefer 8-bit",8bit,gamma,gamma,cms-gamma-byte,rgb888,rgb888,rgb888,1,rgb888,gamma,1,rgb888,e32d645946c6a0ee223b469f1b6c37190fa5111ff28f5fb65ceadd08ba4d461c,38240,'{img2sixel}' --threads=1 --precision=8bit --quality=full --cms-engine=builtin '--loaders=builtin:cms_engine=builtin:cms_target=gamma:prefer_8bit=1!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
cms-gamma-float,"CMS gamma, retain float32",8bit,gamma,gamma,cms-gamma-float,rgb-f32,rgb-f32,rgb-f32,3,rgb-f32,gamma,0,rgbfloat32,5a74749be6c17b20e4f55ecb729b533ea7704b247df953aafc892badbc44a744,38225,'{img2sixel}' --threads=1 --precision=8bit --quality=full --cms-engine=builtin '--loaders=builtin:cms_engine=builtin:cms_target=gamma:prefer_8bit=0!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
cms-linear-byte,CMS linear via RGB888,8bit,linear,linear,cms-linear-byte,rgb888,linear-f32,rgb888,3,rgb888,linear,1,rgb888,32674bedabc302fe7b5d4f7bab96da9f052e7fec3b7332f8d5dc65551885f020,42337,'{img2sixel}' --threads=1 --precision=8bit --quality=full --cms-engine=builtin '--loaders=builtin:cms_engine=builtin:cms_target=linear:prefer_8bit=1!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xlinear -Wlinear --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
cms-linear-float,CMS linear float32,8bit,linear,linear,cms-linear-float,linear-f32,linear-f32,linear-f32,3,linear-f32,linear,0,linearrgbfloat32,32674bedabc302fe7b5d4f7bab96da9f052e7fec3b7332f8d5dc65551885f020,42337,'{img2sixel}' --threads=1 --precision=8bit --quality=full --cms-engine=builtin '--loaders=builtin:cms_engine=builtin:cms_target=linear:prefer_8bit=0!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xlinear -Wlinear --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' '{input}'
