revision,platform,input,colors,colorspace,label,binning_policy,binbits,MS-SSIM,Delta E00_mean,Delta Chroma_mean,command
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,hard,4,0.895126,6.040439,5.386292,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=4 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,hard,5,0.907047,6.031963,5.102374,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=5 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,hard,6,0.872289,5.57562,5.001383,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,hard,7,0.908405,5.956661,5.832907,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=7 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,hard,8,0.892194,5.430157,4.734123,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=8 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,gamma,gamma sRGB,none,6,0.891555,6.122786,6.180405,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=none --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,hard,4,0.847182,6.7624,7.749906,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=4 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,hard,5,0.851259,6.987478,7.310344,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=5 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,hard,6,0.881695,6.464796,7.540602,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,hard,7,0.878473,6.001733,6.711737,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=7 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,hard,8,0.878301,6.057723,6.830491,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=8 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,linear,linear RGB,none,6,0.861989,6.498149,7.53482,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=none --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,hard,4,0.909272,6.424974,7.124587,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=4 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,hard,5,0.913465,5.549181,6.349738,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=5 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,hard,6,0.893526,6.106531,6.956441,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,hard,7,0.913863,5.640283,6.347224,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=7 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,hard,8,0.894451,5.888739,6.652415,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=8 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,oklab,OKLab,none,6,0.919751,6.276224,7.671841,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=none --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,cielab,CIELAB,hard,4,0.891839,5.849991,5.561512,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=4 -F none -a off -Xcielab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
