revision,platform,input,colors,colorspace,label,MS-SSIM,Delta E00_mean,Delta Chroma_mean,command
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,gamma,gamma sRGB,0.872289,5.57562,5.001383,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,linear,linear RGB,0.881695,6.464796,7.540602,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,oklab,OKLab,0.893526,6.106531,6.956441,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,cielab,CIELAB,0.889034,5.521982,5.357546,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xcielab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,din99d,DIN99d,0.904679,5.230155,4.84108,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xdin99d -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,gamma,gamma sRGB,0.941437,3.88389,3.634729,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,linear,linear RGB,0.903184,4.919466,5.833596,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,oklab,OKLab,0.936014,4.442577,4.472192,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,cielab,CIELAB,0.941373,3.906672,3.749724,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xcielab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,din99d,DIN99d,0.936187,4.06405,3.602043,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xdin99d -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
