revision,platform,input,colors,colorspace,label,encoded_bytes,bytes_vs_gamma,command
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,gamma,gamma sRGB,37306,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,linear,linear RGB,37065,0.9935399131506997,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,oklab,OKLab,41407,1.1099286977966012,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,cielab,CIELAB,36116,0.9681016458478529,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xcielab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,din99d,DIN99d,39678,1.063582265587305,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xdin99d -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,gamma,gamma sRGB,61408,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,linear,linear RGB,51864,0.8445805106826472,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,oklab,OKLab,64022,1.0425677436164669,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,cielab,CIELAB,57915,0.9431181605002605,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xcielab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,din99d,DIN99d,63726,1.0377475247524752,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xdin99d -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 16 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,gamma,gamma sRGB,90439,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 32 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,linear,linear RGB,77800,0.860248344187795,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xlinear -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 32 {input}
42db6380105fccc11b8eb90253fa615c8984be8a,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,oklab,OKLab,94768,1.0478665177633544,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 -F none -a off -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 32 {input}
