revision,platform,fixture_id,fixture_label,fixture_class,input,width,height,colors,colorspace,label,binbits,source_points,effective_points,effective_points_per_color,seeds,MS-SSIM_regret_median,MS-SSIM_regret_p90,MS-SSIM_regret_max,Delta E00_regret_median,Delta E00_regret_p90,Delta E00_regret_max,Delta Chroma_regret_median,Delta Chroma_regret_p90,Delta Chroma_regret_max,encoded_size_ratio_median,encoded_size_ratio_p90,encoded_size_ratio_max,strict_pass_count,strict_pass_rate,balanced_pass_count,balanced_pass_rate,relaxed_pass_count,relaxed_pass_rate
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,cielab,CIELAB,4,270000,99,1.546875,5,0.007591000000000014,0.01010079999999993,0.01019799999999993,0.34346200000000016,0.37471920000000003,0.38908200000000015,0.5212409999999998,0.5415252,0.5429740000000001,0.9475502331740457,0.97454856578045,0.981623633403117,0,0.0,0,0.0,0,0.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,cielab,CIELAB,5,270000,278,4.34375,5,0.006377999999999995,0.011538200000000009,0.013658999999999977,0.1600729999999997,0.18749840000000004,0.20190799999999998,0.28082300000000027,0.28682980000000013,0.29021700000000017,0.9696441032798325,0.9795284124943654,0.980814521224654,0,0.0,0,0.0,1,0.2
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,cielab,CIELAB,6,270000,883,13.796875,5,0.007993000000000028,0.012049400000000033,0.013527000000000067,0.1466829999999999,0.20949339999999994,0.21270899999999981,0.14979200000000015,0.20427860000000006,0.22749700000000006,0.9545166676262307,0.9679216102987827,0.9709920156241024,0,0.0,0,0.0,1,0.2
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,cielab,CIELAB,7,270000,2999,46.859375,5,0.003774999999999973,0.004949800000000027,0.00548700000000002,0.10274599999999978,0.12949840000000012,0.13427200000000017,0.09942699999999993,0.20465960000000002,0.27276999999999996,0.9401232080142783,0.9625099862930165,0.9688031431419691,0,0.0,1,0.2,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,cielab,CIELAB,8,270000,10306,161.03125,5,0.0027850000000000374,0.004809000000000019,0.004947000000000035,0.06410600000000022,0.09521839999999981,0.11468799999999968,0.09735499999999986,0.1735103999999999,0.18527799999999983,0.9610625696358412,0.9679306702659076,0.9690044196324726,1,0.2,2,0.4,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,din99d,DIN99d,4,270000,82,1.28125,5,0.009983999999999993,0.016789799999999987,0.019032999999999967,0.473684,0.511463,0.5205190000000002,0.6875909999999998,0.8577729999999999,0.9424049999999999,0.9281350852927617,0.9405465875106198,0.9435398230088495,0,0.0,0,0.0,0,0.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,din99d,DIN99d,5,270000,227,3.546875,5,0.0029130000000000544,0.008389800000000003,0.009417000000000009,0.15886400000000034,0.2298739999999997,0.24856199999999973,0.15763099999999985,0.2760413999999998,0.29034499999999985,0.9840009480919649,1.0068445309408112,1.020589970501475,0,0.0,1,0.2,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,din99d,DIN99d,6,270000,701,10.953125,5,0.004705999999999988,0.010354200000000025,0.010411000000000059,0.11576399999999998,0.12920779999999982,0.13733099999999965,0.12143899999999963,0.293144,0.30934799999999996,0.9670613058258117,0.987175906717819,0.9962076321403176,0,0.0,1,0.2,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,din99d,DIN99d,7,270000,2395,37.421875,5,0.0024800000000000377,0.006558199999999982,0.00906499999999999,0.08891800000000005,0.18540139999999994,0.19663699999999995,0.196863,0.34822839999999977,0.41420599999999963,0.960655927685711,1.0053279632163048,1.0078810144584025,0,0.0,1,0.2,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,din99d,DIN99d,8,270000,8258,129.03125,5,0.0007550000000000612,0.003818599999999983,0.005010999999999988,0.05861699999999992,0.0931872000000002,0.10796600000000023,0.1380079999999997,0.1726399999999999,0.1844459999999999,0.9911924904392166,1.0163853448474767,1.028849557522124,2,0.4,3,0.6,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,gamma,gamma sRGB,4,270000,209,3.265625,5,0.005643000000000065,0.008363400000000043,0.00836900000000007,0.16512599999999988,0.24859900000000001,0.2999170000000002,0.07235099999999983,0.15219619999999995,0.1577329999999999,0.9342486831982009,0.9664547544809354,0.9868013384558185,0,0.0,0,0.0,2,0.4
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,gamma,gamma sRGB,5,270000,731,11.421875,5,0.0037080000000000446,0.006805999999999979,0.006935999999999942,0.09289099999999983,0.11062860000000008,0.11194900000000008,0.08484200000000008,0.08888139999999992,0.08931699999999987,0.9960852544584602,0.9989293335263928,0.9990830735375023,0,0.0,1,0.2,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,gamma,gamma sRGB,6,270000,2534,39.59375,5,0.003587000000000007,0.00534899999999996,0.006440999999999919,0.02941299999999991,0.08843560000000023,0.12465200000000021,0.0023260000000000502,0.09577540000000005,0.14682899999999988,1.0000619655471559,1.016871750026144,1.0218228498074455,1,0.2,1,0.2,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,gamma,gamma sRGB,7,270000,9733,152.078125,5,0.0004690000000000527,0.0025912000000000157,0.003269999999999995,0.03570999999999991,0.05544900000000022,0.058941000000000354,-0.003263000000000016,0.039583000000000014,0.05261300000000002,0.9780640456948411,0.9950966950935523,1.0026098303610265,2,0.4,4,0.8,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,gamma,gamma sRGB,8,270000,38459,600.921875,5,0.001442999999999972,0.0027434000000000182,0.0035450000000000204,0.011340000000000128,0.07671859999999998,0.11721300000000001,0.053001000000000076,0.07349320000000006,0.07454800000000006,0.9839581940815458,0.9937363855709275,0.9969551979121357,2,0.4,4,0.8,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,linear,linear RGB,4,270000,263,4.109375,5,0.0015260000000000273,0.008983200000000035,0.010270000000000001,0.13149999999999995,0.40602459999999985,0.470399,0.11130300000000037,0.5755958000000001,0.7648670000000002,0.9139889646218761,0.9492425411174983,0.9694069389847889,0,0.0,3,0.6,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,linear,linear RGB,5,270000,968,15.125,5,0.00012999999999996348,0.009856999999999939,0.01309299999999991,0.0867,0.31361319999999987,0.4646699999999999,0.296122,0.3780176,0.41079,0.9684590128639862,0.9811369814307673,0.9819686506631591,2,0.4,3,0.6,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,64,linear,linear RGB,6,270000,3629,56.703125,5,0.002413999999999916,0.00986959999999999,0.01377600000000001,0.21843499999999993,0.2812196000000003,0.28933200000000037,0.26490400000000003,0.4063121999999999,0.40995099999999995,0.9825101122315274,1.0005940345090107,1.0054258467609338,1,0.2,1,0.2,2,0.4
