revision,platform,fixture_id,fixture_label,fixture_class,input,colors,colorspace,label,source_points,criterion,MS-SSIM_regret_limit,Delta E00_regret_limit,pass_rate_target,observed_binbits,observed_effective_points,observed_points_per_color,stable_binbits,stable_effective_points,stable_points_per_color,stable_censored
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,cielab,CIELAB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,cielab,CIELAB,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,cielab,CIELAB,270000,relaxed,0.005,0.25,0.8,7,2999,46.859375,7,2999,46.859375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,din99d,DIN99d,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,din99d,DIN99d,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,din99d,DIN99d,270000,relaxed,0.005,0.25,0.8,7,2395,37.421875,7,2395,37.421875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,gamma,gamma sRGB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,gamma,gamma sRGB,270000,balanced,0.002,0.15,0.8,7,9733,152.078125,7,9733,152.078125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,gamma,gamma sRGB,270000,relaxed,0.005,0.25,0.8,6,2534,39.59375,6,2534,39.59375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,linear,linear RGB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,linear,linear RGB,270000,balanced,0.002,0.15,0.8,8,25173,393.328125,8,25173,393.328125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,linear,linear RGB,270000,relaxed,0.005,0.25,0.8,8,25173,393.328125,8,25173,393.328125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,oklab,OKLab,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,oklab,OKLab,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,64,oklab,OKLab,270000,relaxed,0.005,0.25,0.8,6,780,12.1875,6,780,12.1875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,cielab,CIELAB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,cielab,CIELAB,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,cielab,CIELAB,270000,relaxed,0.005,0.25,0.8,6,883,6.8984375,6,883,6.8984375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,din99d,DIN99d,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,din99d,DIN99d,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,din99d,DIN99d,270000,relaxed,0.005,0.25,0.8,8,8258,64.515625,8,8258,64.515625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,gamma,gamma sRGB,270000,strict,0.001,0.05,0.8,6,2534,19.796875,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,gamma,gamma sRGB,270000,balanced,0.002,0.15,0.8,6,2534,19.796875,6,2534,19.796875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,gamma,gamma sRGB,270000,relaxed,0.005,0.25,0.8,4,209,1.6328125,4,209,1.6328125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,linear,linear RGB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,linear,linear RGB,270000,balanced,0.002,0.15,0.8,5,968,7.5625,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,linear,linear RGB,270000,relaxed,0.005,0.25,0.8,5,968,7.5625,8,25173,196.6640625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,oklab,OKLab,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,oklab,OKLab,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,128,oklab,OKLab,270000,relaxed,0.005,0.25,0.8,7,2622,20.484375,7,2622,20.484375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,cielab,CIELAB,270000,strict,0.001,0.05,0.8,8,10306,40.2578125,8,10306,40.2578125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,cielab,CIELAB,270000,balanced,0.002,0.15,0.8,8,10306,40.2578125,8,10306,40.2578125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,cielab,CIELAB,270000,relaxed,0.005,0.25,0.8,6,883,3.44921875,6,883,3.44921875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,balanced,0.002,0.15,0.8,7,2395,9.35546875,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,relaxed,0.005,0.25,0.8,7,2395,9.35546875,7,2395,9.35546875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,gamma,gamma sRGB,270000,strict,0.001,0.05,0.8,7,9733,38.01953125,,,,yes
