fixture,policy,simd_requested,simd_effective,ms_ssim,delta_e00_mean,delta_chroma_mean,gmsd,psnr_y,output_sha256,decoded_png_sha256,command,assessment_command,input_token
natural,preserve,scalar,0,0.997649,0.561089,0.802775,0.009258,48.894794,a924a410b053268507a2619ff2134d515e237f8dcff318adbee7606545031e35,4358806fcf66d1dcd47945a44433d71f376ba07ed3e4bf476ba74183cc37f639,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=preserve -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{output_png}',{input}
natural,preserve,auto,3,0.997649,0.561089,0.802775,0.009258,48.894794,a924a410b053268507a2619ff2134d515e237f8dcff318adbee7606545031e35,4358806fcf66d1dcd47945a44433d71f376ba07ed3e4bf476ba74183cc37f639,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=preserve -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{output_png}',{input}
natural,linear,scalar,0,1.000000,0.000000,0.000000,0.000000,99.000000,96d3300ed22b3a9feb747aed0069ade1a962f8e1e16020be3e851c7f8d416f5f,d395f8031a32f64a4292098be6df0831aea8b59b317090d1c26ef8afaa7a5a28,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{natural_reference}',{input}
natural,linear,auto,3,1.000000,0.000000,0.000000,0.000000,99.000000,96d3300ed22b3a9feb747aed0069ade1a962f8e1e16020be3e851c7f8d416f5f,d395f8031a32f64a4292098be6df0831aea8b59b317090d1c26ef8afaa7a5a28,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{output_png}',{input}
natural,float,scalar,0,0.997893,0.503848,0.690519,0.009030,49.332920,f0aeec846ce76a03496ab6424eab02401e79eb99fdf93b86fadb8c4e614f2696,b569997e88fa074515c00e389165c172c4edd0f3a0e02421a87ee0fd8b2f5a83,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=float -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{output_png}',{input}
natural,float,auto,3,0.998116,0.493551,0.667286,0.008956,49.484997,4840258b7c18a59b3fdcac49efce95c468f361bee099097ba8e721f18bf3ce24,f5054d3d3ecba3e9b3c0de35cb768ad1e092a4a7affe82604d489ed44c6a5517,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=float -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{natural_reference}' '{output_png}',{input}
checker,preserve,scalar,0,0.961644,9.971917,17.064587,0.000003,27.634640,10233e3eb980af089696aae5d59ec627748aff5b7e021f46be8147a4256a8d58,db845991b15b5dea5fc36367961ee6a6b0ea9b81946c81091a096533dd73e1b0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=preserve -o '{output}' '{checker_input}','{lsqa}' -Woklab -Pfloat32 '{checker_reference}' '{output_png}',{checker_input}
checker,preserve,auto,3,0.961644,9.971917,17.064587,0.000003,27.634640,10233e3eb980af089696aae5d59ec627748aff5b7e021f46be8147a4256a8d58,db845991b15b5dea5fc36367961ee6a6b0ea9b81946c81091a096533dd73e1b0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=preserve -o '{output}' '{checker_input}','{lsqa}' -Woklab -Pfloat32 '{checker_reference}' '{output_png}',{checker_input}
checker,linear,scalar,0,0.999993,0.168512,0.265243,0.000009,63.330837,919c394c0a755e63e27eeabd669df7076c24f3027d085a209b7282eaec565092,26cf8f467a69416b2b53fe3981bbb7c5ce4298398214b0c880570ddc6eaafcad,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{checker_input}','{lsqa}' -Woklab -Pfloat32 '{checker_reference}' '{output_png}',{checker_input}
checker,linear,auto,3,0.999993,0.168512,0.265243,0.000009,63.330837,919c394c0a755e63e27eeabd669df7076c24f3027d085a209b7282eaec565092,26cf8f467a69416b2b53fe3981bbb7c5ce4298398214b0c880570ddc6eaafcad,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=linear -o '{output}' '{checker_input}','{lsqa}' -Woklab -Pfloat32 '{checker_reference}' '{output_png}',{checker_input}
