revision,platform,input,colors,method,diffusion_option,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,speedup_vs_none,command
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,none,none:scan=raster,9,0.06754633411765099,0.06246716598980129,0.07044570799916983,0.060548000037670135,0.0718304158654064,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,fs,fs:scan=raster,9,0.07536962511949241,0.07238800008781254,0.07678700005635619,0.0672232499346137,0.07832604111172259,0.8962010094990093,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,atkinson,atkinson:scan=raster,9,0.07865616702474654,0.07623287499882281,0.07914554188027978,0.07143954117782414,0.0825215841177851,0.8587544584571454,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=atkinson:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,jajuni,jajuni:scan=raster,9,0.0929888328537345,0.08646991685964167,0.09303908399306238,0.08349991589784622,0.09605633397586644,0.7263918907757135,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=jajuni:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,stucki,stucki:scan=raster,9,0.09273691708222032,0.08981366595253348,0.09456837479956448,0.08246554201468825,0.09851508284918964,0.7283651025164507,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=stucki:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,burkes,burkes:scan=raster,9,0.08299745782278478,0.08086079102940857,0.08552325004711747,0.07288799993693829,0.08577391691505909,0.8138361811258743,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=burkes:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,sierra1,sierra:variant=1:scan=raster,9,0.0746232911478728,0.07113866694271564,0.0757157918997109,0.06542779179289937,0.07640579179860651,0.9051642332928176,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=1:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,sierra2,sierra:variant=2:scan=raster,9,0.08816504199057817,0.08214016701094806,0.08852845896035433,0.07979183294810355,0.08903250005096197,0.7661351097056062,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=2:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,sierra3,sierra:variant=3:scan=raster,9,0.08794575021602213,0.08172116684727371,0.08950849995017052,0.07792074978351593,0.09024912514723837,0.768045459294351,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=3:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,8,lso2,lso2:scan=raster,9,0.08445070893503726,0.0790821248665452,0.08489575004205108,0.07609708304516971,0.08825012505985796,0.7998314634588827,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=lso2:scan=raster --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
