revision,method,frequency_nyquist,radial_power_db,radial_anisotropy_db
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0078125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0234375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0390625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0546875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0703125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.0859375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1015625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1171875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1328125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1484375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1640625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1796875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.1953125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2109375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2265625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2421875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2578125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2734375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.2890625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3046875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3203125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3359375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3515625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3671875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3828125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.3984375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4140625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4296875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4453125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4609375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4765625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.4921875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5078125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5234375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5390625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5546875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5703125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.5859375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6015625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6171875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6328125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6484375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6640625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6796875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.6953125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7109375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7265625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7421875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7578125,,
