g,condition,mean,fb,low_percent,peak_ratio,peak_frequency,bytes
32,FS / P=0,0.1268463134765625,0.3542459542160381,23.646879595467233,4.982007754951002,0.69921875,22274
32,FS / P=0.5,0.1287841796875,0.3542459542160381,23.591588700835153,4.322476530712889,0.69921875,22275
32,Serpentine / P=0,0.1268310546875,0.3542459542160381,22.074489347059423,2.8095618918534875,0.390625,22262
32,Serpentine / P=0.5,0.1283416748046875,0.3542459542160381,23.210609219850262,2.365164519840352,0.3671875,22272
64,FS / P=0,0.2543182373046875,0.5009794328681196,56.84933389952147,17.022894891656733,0.703125,22309
64,FS / P=0.5,0.254669189453125,0.5009794328681196,57.174395209497945,6.216910227262323,0.68359375,22301
64,Serpentine / P=0,0.2547607421875,0.5009794328681196,50.51761871879241,14.215616818581712,0.70703125,22258
64,Serpentine / P=0.5,0.255279541015625,0.5009794328681196,54.41916784927764,3.0875297951320473,0.49609375,22260
85,FS / P=0,0.3385009765625,0.5773502691896257,94.04054588309579,21.467935447030573,0.4765625,22316
85,FS / P=0.5,0.338348388671875,0.5773502691896257,86.9109052125321,3.001781118937375,0.49609375,22284
85,Serpentine / P=0,0.3382415771484375,0.5773502691896257,75.70213390306203,5.7886055836582235,0.5859375,22271
85,Serpentine / P=0.5,0.338226318359375,0.5773502691896257,80.62750074630006,5.805870618448266,0.70703125,22272
128,FS / P=0,0.50982666015625,0.7084919084320762,100.0,173.4955057651847,0.70703125,22316
128,FS / P=0.5,0.5098419189453125,0.7084919084320762,100.0,25.523098302155283,0.703125,22310
128,Serpentine / P=0,0.5100250244140625,0.7084919084320762,100.0,57.81804892216138,0.703125,22276
128,Serpentine / P=0.5,0.509765625,0.7084919084320762,100.0,19.59377766632384,0.70703125,22278
