g,condition,cycles_per_pixel,mean_power,bin_count
32,FS / P=0,0.0,0.0,1
32,FS / P=0,0.00390625,771.5440576601653,8
32,FS / P=0,0.0078125,503.5081635261129,12
32,FS / P=0,0.01171875,377.43276572535797,16
32,FS / P=0,0.015625,218.35342247206867,32
32,FS / P=0,0.01953125,220.63092412297604,28
32,FS / P=0,0.0234375,182.54299730148955,40
32,FS / P=0,0.02734375,192.76372389520702,40
32,FS / P=0,0.03125,163.09982680709635,48
32,FS / P=0,0.03515625,135.57726984755422,68
32,FS / P=0,0.0390625,140.50846901730412,56
32,FS / P=0,0.04296875,129.70014523233823,72
32,FS / P=0,0.046875,131.96591388169736,68
32,FS / P=0,0.05078125,134.82778819616576,88
32,FS / P=0,0.0546875,192.98890989595046,88
32,FS / P=0,0.05859375,170.8159752466808,84
32,FS / P=0,0.0625,125.88132985749591,112
32,FS / P=0,0.06640625,141.36817141737302,112
32,FS / P=0,0.0703125,138.0940712509591,112
32,FS / P=0,0.07421875,133.49554127719165,116
32,FS / P=0,0.078125,116.96368651051803,112
32,FS / P=0,0.08203125,160.15175900829604,144
32,FS / P=0,0.0859375,143.6531312020211,140
32,FS / P=0,0.08984375,148.58290285947132,144
32,FS / P=0,0.09375,132.0956182304919,144
32,FS / P=0,0.09765625,140.34614945731676,168
32,FS / P=0,0.1015625,166.93094512644973,164
32,FS / P=0,0.10546875,185.72763758977163,160
32,FS / P=0,0.109375,186.24349703123738,184
32,FS / P=0,0.11328125,194.39610884062054,172
32,FS / P=0,0.1171875,183.04562294089854,200
32,FS / P=0,0.12109375,199.11701612457708,192
32,FS / P=0,0.125,247.05767999171042,188
32,FS / P=0,0.12890625,252.10867827337066,208
32,FS / P=0,0.1328125,318.2811661568866,224
32,FS / P=0,0.13671875,332.26364674558755,224
32,FS / P=0,0.140625,305.7525025051139,228
32,FS / P=0,0.14453125,253.8077204315486,224
32,FS / P=0,0.1484375,375.12293920648017,248
32,FS / P=0,0.15234375,364.67554418027726,236
32,FS / P=0,0.15625,352.1943887975109,264
32,FS / P=0,0.16015625,384.15027040581384,248
32,FS / P=0,0.1640625,317.24746517179324,264
32,FS / P=0,0.16796875,503.1538209833436,276
32,FS / P=0,0.171875,461.3767404171171,264
32,FS / P=0,0.17578125,470.7108621197089,288
32,FS / P=0,0.1796875,480.2958237744453,276
32,FS / P=0,0.18359375,466.3079778420853,304
32,FS / P=0,0.1875,483.53190717628166,304
32,FS / P=0,0.19140625,514.0128484811974,312
32,FS / P=0,0.1953125,523.2629251124694,316
32,FS / P=0,0.19921875,471.59624827046537,320
32,FS / P=0,0.203125,658.1876719188631,344
32,FS / P=0,0.20703125,769.946831774408,316
32,FS / P=0,0.2109375,758.443679033909,336
32,FS / P=0,0.21484375,676.5593783879815,352
32,FS / P=0,0.21875,831.6826036472812,340
32,FS / P=0,0.22265625,807.6827895903898,376
32,FS / P=0,0.2265625,906.6632116857479,336
32,FS / P=0,0.23046875,1026.5106497923002,392
32,FS / P=0,0.234375,1046.527246242646,380
32,FS / P=0,0.23828125,1143.0869847587353,368
32,FS / P=0,0.2421875,1277.5544850154283,400
32,FS / P=0,0.24609375,1414.0243208815725,364
32,FS / P=0,0.25,1687.677699227748,440
32,FS / P=0,0.25390625,1811.074185086415,400
32,FS / P=0,0.2578125,2524.0543545485257,424
32,FS / P=0,0.26171875,2591.725443337306,420
32,FS / P=0,0.265625,2393.994651142289,416
32,FS / P=0,0.26953125,2382.72870671131,448
32,FS / P=0,0.2734375,2869.527639479041,428
32,FS / P=0,0.27734375,3316.153657627382,432
32,FS / P=0,0.28125,3770.5904051314274,480
32,FS / P=0,0.28515625,4395.072865829255,444
32,FS / P=0,0.2890625,4359.163696728856,472
32,FS / P=0,0.29296875,4922.4831783193895,456
32,FS / P=0,0.296875,4463.199468193986,488
32,FS / P=0,0.30078125,5191.849189543611,500
32,FS / P=0,0.3046875,5825.692003029351,472
32,FS / P=0,0.30859375,7059.299550053799,496
32,FS / P=0,0.3125,9669.611260279533,492
32,FS / P=0,0.31640625,8343.333052602105,536
32,FS / P=0,0.3203125,9181.553054344085,512
32,FS / P=0,0.32421875,9889.984864852111,512
32,FS / P=0,0.328125,11028.869224825885,516
32,FS / P=0,0.33203125,12761.701181238343,552
32,FS / P=0,0.3359375,14444.567052460709,544
32,FS / P=0,0.33984375,14117.2878138421,540
32,FS / P=0,0.34375,14233.893929259299,536
32,FS / P=0,0.34765625,21819.43162559006,584
32,FS / P=0,0.3515625,14632.424077719616,556
32,FS / P=0,0.35546875,19172.95211931058,576
32,FS / P=0,0.359375,17146.46140171808,568
32,FS / P=0,0.36328125,20479.390007870912,592
32,FS / P=0,0.3671875,18929.17902830898,580
32,FS / P=0,0.37109375,15255.22907593989,592
32,FS / P=0,0.375,16074.031025963734,600
32,FS / P=0,0.37890625,15129.317005477027,612
32,FS / P=0,0.3828125,15444.2352297928,664
32,FS / P=0,0.38671875,12926.545491105258,592
32,FS / P=0,0.390625,11883.525884530342,640
32,FS / P=0,0.39453125,10835.296008103323,596
32,FS / P=0,0.3984375,12602.053850361464,664
32,FS / P=0,0.40234375,10393.034947572944,672
32,FS / P=0,0.40625,11675.689450897135,620
32,FS / P=0,0.41015625,11222.135324031577,664
32,FS / P=0,0.4140625,9810.487913645755,656
32,FS / P=0,0.41796875,9998.94031402079,680
32,FS / P=0,0.421875,10569.163292282332,692
32,FS / P=0,0.42578125,9879.731766824358,672
32,FS / P=0,0.4296875,9427.023564743995,720
32,FS / P=0,0.43359375,8693.560858904555,668
32,FS / P=0,0.4375,10132.96305389643,704
32,FS / P=0,0.44140625,9210.53183100648,704
32,FS / P=0,0.4453125,8958.093178724392,716
32,FS / P=0,0.44921875,8833.56207279737,744
32,FS / P=0,0.453125,8943.225522120641,728
32,FS / P=0,0.45703125,8452.232692313408,728
32,FS / P=0,0.4609375,9027.363806045114,724
32,FS / P=0,0.46484375,8167.062960223945,736
32,FS / P=0,0.46875,7282.433365205625,776
32,FS / P=0,0.47265625,8073.138984837008,772
32,FS / P=0,0.4765625,7646.753395808501,768
32,FS / P=0,0.48046875,8097.37871720849,792
32,FS / P=0,0.484375,6786.87820835492,760
32,FS / P=0,0.48828125,6439.3859020230675,780
32,FS / P=0,0.4921875,6426.799201944958,776
32,FS / P=0,0.49609375,7186.785468535596,832
32,FS / P=0,0.5,7028.485291060763,742
32,FS / P=0,0.50390625,5643.664500403916,692
32,FS / P=0,0.5078125,5215.660322582334,620
32,FS / P=0,0.51171875,5160.195851002158,588
32,FS / P=0,0.515625,5057.73091562437,588
32,FS / P=0,0.51953125,5594.731217739703,544
32,FS / P=0,0.5234375,6620.38485965409,524
32,FS / P=0,0.52734375,5184.275187603843,484
32,FS / P=0,0.53125,6085.56087198601,504
32,FS / P=0,0.53515625,5593.738828224435,456
32,FS / P=0,0.5390625,5986.195641746971,424
32,FS / P=0,0.54296875,6099.506460245155,424
32,FS / P=0,0.546875,5940.554613900676,436
32,FS / P=0,0.55078125,5340.089870285849,400
32,FS / P=0,0.5546875,5234.640096541022,368
32,FS / P=0,0.55859375,5536.964186428723,356
32,FS / P=0,0.5625,4780.594729991483,376
32,FS / P=0,0.56640625,5911.655664741934,344
32,FS / P=0,0.5703125,5699.654452098637,348
32,FS / P=0,0.57421875,5830.276003163341,300
32,FS / P=0,0.578125,5638.643535070839,300
32,FS / P=0,0.58203125,6511.924250397276,312
32,FS / P=0,0.5859375,6137.398604772761,268
32,FS / P=0,0.58984375,5674.40514243576,300
32,FS / P=0,0.59375,6550.734796572267,236
32,FS / P=0,0.59765625,6671.158290077295,260
32,FS / P=0,0.6015625,6377.109837102705,244
32,FS / P=0,0.60546875,5812.241536073747,216
32,FS / P=0,0.609375,5976.113076034363,244
32,FS / P=0,0.61328125,6635.5159494246445,200
32,FS / P=0,0.6171875,8514.207282842724,204
32,FS / P=0,0.62109375,8617.070809899735,192
32,FS / P=0,0.625,7005.692334429184,160
32,FS / P=0,0.62890625,7847.396077343974,196
32,FS / P=0,0.6328125,6625.129606256494,152
32,FS / P=0,0.63671875,8759.55788538227,160
32,FS / P=0,0.640625,6888.06524715144,140
32,FS / P=0,0.64453125,8110.428794253369,136
32,FS / P=0,0.6484375,9062.775242482192,128
32,FS / P=0,0.65234375,12772.815209815231,108
32,FS / P=0,0.65625,14016.36347531624,120
32,FS / P=0,0.66015625,14227.4417690586,96
32,FS / P=0,0.6640625,14466.282405512022,96
32,FS / P=0,0.66796875,9640.680728255384,84
32,FS / P=0,0.671875,14231.092799361624,52
32,FS / P=0,0.67578125,15622.904439087963,92
32,FS / P=0,0.6796875,17191.52542985464,40
32,FS / P=0,0.68359375,19798.734047265865,68
32,FS / P=0,0.6875,19997.78293496351,28
32,FS / P=0,0.69140625,14937.724098772485,40
32,FS / P=0,0.6953125,23918.92531473101,20
32,FS / P=0,0.69921875,30944.24715544148,12
32,FS / P=0,0.703125,22283.923384223697,12
32,FS / P=0,0.70703125,961.0,1
32,FS / P=0.5,0.0,0.0,1
32,FS / P=0.5,0.00390625,839.3592232102882,8
32,FS / P=0.5,0.0078125,566.9902662386631,12
32,FS / P=0.5,0.01171875,412.54312311601655,16
32,FS / P=0.5,0.015625,238.36980051330505,32
32,FS / P=0.5,0.01953125,262.23529777758006,28
32,FS / P=0.5,0.0234375,174.64543790624322,40
32,FS / P=0.5,0.02734375,206.10781303867125,40
32,FS / P=0.5,0.03125,159.52901298660228,48
32,FS / P=0.5,0.03515625,143.87064876068192,68
32,FS / P=0.5,0.0390625,143.3306471945962,56
32,FS / P=0.5,0.04296875,150.27828734117222,72
32,FS / P=0.5,0.046875,162.99420857834582,68
32,FS / P=0.5,0.05078125,128.8984028213895,88
32,FS / P=0.5,0.0546875,157.00427230365074,88
32,FS / P=0.5,0.05859375,142.09400056568293,84
32,FS / P=0.5,0.0625,155.43655981502556,112
32,FS / P=0.5,0.06640625,164.44150174652853,112
32,FS / P=0.5,0.0703125,155.11446106360344,112
32,FS / P=0.5,0.07421875,193.75525502057934,116
32,FS / P=0.5,0.078125,187.6844884010664,112
32,FS / P=0.5,0.08203125,195.1226798957256,144
32,FS / P=0.5,0.0859375,204.79911302515274,140
32,FS / P=0.5,0.08984375,202.78569418664753,144
32,FS / P=0.5,0.09375,252.5155097183949,144
32,FS / P=0.5,0.09765625,206.76577757346348,168
32,FS / P=0.5,0.1015625,226.1011060035609,164
32,FS / P=0.5,0.10546875,237.62798076826684,160
32,FS / P=0.5,0.109375,316.28299910086014,184
32,FS / P=0.5,0.11328125,253.39004921762077,172
32,FS / P=0.5,0.1171875,319.1871615078289,200
32,FS / P=0.5,0.12109375,307.52232576667456,192
32,FS / P=0.5,0.125,289.5037095057637,188
32,FS / P=0.5,0.12890625,387.7558788592021,208
32,FS / P=0.5,0.1328125,370.7260914559939,224
32,FS / P=0.5,0.13671875,490.60584183180066,224
32,FS / P=0.5,0.140625,461.5701294076625,228
32,FS / P=0.5,0.14453125,505.33534698718694,224
32,FS / P=0.5,0.1484375,554.3340456643299,248
32,FS / P=0.5,0.15234375,512.919764608486,236
