fixture,mode,ms_ssim,delta_e00,bytes,rgb_colors,keys_15bit,definitions,defined_rgb_values
snake,256-none,0.9861,2.403138,247009,254,209,256,254
snake,256-fs,0.991198,2.728167,326104,254,209,256,254
snake,high,0.989064,1.75277,675644,14838,2895,20655,14838
autumn,256-none,0.998199,1.625273,361425,256,196,256,256
autumn,256-fs,0.998252,1.769629,401295,256,196,256,256
autumn,high,0.998061,1.37433,556192,4270,735,11985,4270
gradient,256-none,0.904965,2.26908,37059,255,255,256,256
gradient,256-fs,0.964675,2.9544,155093,256,256,256,256
gradient,high,0.979565,1.446631,122511,1714,1429,2805,1714
gray,256-none,0.983637,0.338442,7414,64,32,64,64
gray,256-fs,0.983637,0.338442,7414,64,32,64,64
gray,high,0.937472,1.044751,6490,32,27,255,32
revisit,256-none,0.946136,5.178423,70449,256,256,256,256
revisit,256-fs,0.990329,6.294665,145603,256,256,256,256
revisit,high,0.91388,1.363718,1220925,57656,27991,64770,57656
snake-fhd,256-none,0.976028,2.495796,876937,255,211,256,255
snake-fhd,256-fs,0.986745,2.970626,1654465,255,211,256,255
snake-fhd,high,0.985524,1.735231,2294688,31215,3848,57885,31215
