fixture,mode,threads,iteration,position,encode_ms,decode_ms
snake-fhd,256-fs,1,-2,0,191.493292,18.742458
snake-fhd,high,1,-2,1,64.097625,15.14975
snake,256-none,1,-2,2,29.094958,2.268
snake,256-fs,1,-2,3,45.81375,3.239083
snake,high,1,-2,4,14.698792,3.530458
autumn,256-none,1,-2,5,25.620958,3.002584
autumn,256-fs,1,-2,6,33.809625,3.173125
autumn,high,1,-2,7,14.85125,3.430875
gradient,256-none,1,-2,8,15.873875,0.497833
gradient,256-fs,1,-2,9,44.400042,2.066167
gradient,high,1,-2,10,2.342083,0.82875
gray,256-none,1,-2,11,1.258875,0.107583
gray,256-fs,1,-2,12,1.292208,0.091333
gray,high,1,-2,13,0.2655,0.0735
revisit,256-none,1,-2,14,23.482458,0.404292
revisit,256-fs,1,-2,15,26.525834,1.001291
revisit,high,1,-2,16,7.150417,2.707125
snake-fhd,256-none,1,-2,17,106.13825,9.459375
snake-fhd,256-fs,1,-1,0,190.402708,19.052625
snake-fhd,256-none,1,-1,1,106.449875,9.737958
revisit,high,1,-1,2,7.1185,2.684042
revisit,256-fs,1,-1,3,26.436833,1.074417
revisit,256-none,1,-1,4,23.362083,0.414416
gray,high,1,-1,5,0.289291,0.075792
gray,256-fs,1,-1,6,1.269709,0.093875
gray,256-none,1,-1,7,1.237208,0.093709
gradient,high,1,-1,8,2.422584,0.844667
gradient,256-fs,1,-1,9,44.010042,2.122917
gradient,256-none,1,-1,10,16.106834,0.475208
autumn,high,1,-1,11,15.200833,3.366875
autumn,256-fs,1,-1,12,35.2865,3.134958
autumn,256-none,1,-1,13,25.185084,2.990625
snake,high,1,-1,14,14.444458,3.613166
snake,256-fs,1,-1,15,45.63675,3.647167
snake,256-none,1,-1,16,28.228875,2.268375
snake-fhd,high,1,-1,17,63.630042,14.866958
snake,256-none,1,0,0,27.256625,2.379583
snake,256-fs,1,0,1,45.25175,3.073875
snake,high,1,0,2,14.345375,3.52425
autumn,256-none,1,0,3,25.69725,2.841209
autumn,256-fs,1,0,4,36.387625,3.144792
autumn,high,1,0,5,14.847292,3.26075
gradient,256-none,1,0,6,16.113,0.514625
gradient,256-fs,1,0,7,44.702417,2.11075
gradient,high,1,0,8,2.324541,0.847959
gray,256-none,1,0,9,1.278708,0.099541
gray,256-fs,1,0,10,1.298875,0.096291
gray,high,1,0,11,0.271834,0.075084
revisit,256-none,1,0,12,23.28175,0.416792
revisit,256-fs,1,0,13,27.074208,1.087083
revisit,high,1,0,14,7.16775,2.562
snake-fhd,256-none,1,0,15,110.257833,9.596583
snake-fhd,256-fs,1,0,16,191.229292,18.723
snake-fhd,high,1,0,17,64.20525,14.918042
snake,256-none,1,1,0,27.883542,2.304709
snake-fhd,high,1,1,1,65.02475,14.943417
snake-fhd,256-fs,1,1,2,193.215459,18.521792
snake-fhd,256-none,1,1,3,107.343959,9.26625
revisit,high,1,1,4,7.129959,2.714292
revisit,256-fs,1,1,5,26.858083,1.020584
revisit,256-none,1,1,6,22.9,0.405083
gray,high,1,1,7,0.2825,0.078667
gray,256-fs,1,1,8,1.274625,0.090709
gray,256-none,1,1,9,1.227834,0.089917
gradient,high,1,1,10,2.380708,0.839208
gradient,256-fs,1,1,11,44.056916,2.004875
gradient,256-none,1,1,12,15.776792,0.511625
autumn,high,1,1,13,14.886959,3.170666
autumn,256-fs,1,1,14,36.528666,3.485
autumn,256-none,1,1,15,24.92825,3.020541
snake,high,1,1,16,14.620084,3.503042
snake,256-fs,1,1,17,47.645833,3.079416
snake,high,1,2,0,15.536958,3.697917
autumn,256-none,1,2,1,25.171334,2.946084
autumn,256-fs,1,2,2,34.932792,3.175334
