kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,8,12.184671,8.435487
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,16,9.150693,6.241989
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,32,7.191123,4.652174
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,64,4.76114,3.127799
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,128,3.264562,2.388845
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,256,2.447771,1.842988
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,8,12.510652,14.914233
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,16,10.302245,5.272783
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,32,7.523721,5.006541
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,64,5.524244,4.049561
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,128,3.607929,2.683525
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,256,3.155706,2.269776
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,8,13.29134,16.088598
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,16,10.00095,5.674096
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,32,7.028945,4.417245
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,64,4.836636,3.109046
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,128,3.426761,2.488112
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,256,2.596776,1.859324
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,8,13.254804,16.104532
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,16,10.005866,5.641585
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,32,6.884852,4.307376
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,64,4.687018,3.09417
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,128,3.28583,2.378167
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,256,2.403138,1.749753
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,8,13.407853,16.587467
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,16,10.733212,6.50571
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,32,7.973564,5.097248
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,64,5.218492,3.535101
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,128,3.780726,2.905832
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,256,3.032645,2.461793
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,8,13.268039,15.89577
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,16,10.098118,5.651812
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,32,6.901409,4.399987
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,64,4.619667,3.103881
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,128,3.336123,2.434762
