kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,8,5.67385,6.785327
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,16,4.159699,4.245701
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,32,3.232178,3.111518
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,64,2.622018,2.303117
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,128,2.188477,1.871095
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=none {input},images/snake.png,256,1.867762,1.455218
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,8,5.67385,6.785327
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,16,4.159699,4.245701
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,32,3.232178,3.111518
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,64,2.622018,2.303117
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,128,2.188477,1.871095
