kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,128,3.264562,2.388845
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,144,3.10999,2.294332
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,160,3.025744,2.224884
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,176,2.921118,2.115063
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,192,2.879396,2.044676
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,208,2.705312,1.945992
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,224,2.659995,1.894026
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,240,2.542189,1.870202
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,256,2.447771,1.842988
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,128,3.607929,2.683525
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,144,3.448301,2.644687
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,160,3.236308,2.559861
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,176,3.326507,2.417682
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,192,3.384924,2.378951
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,208,3.254185,2.346216
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,224,3.233697,2.304142
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,240,3.180684,2.282564
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,256,3.155706,2.269776
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,128,3.426761,2.488112
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,144,3.364332,2.477217
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,160,3.190284,2.330165
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,176,2.974936,2.193688
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,192,2.883864,2.080398
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,208,2.770629,2.074805
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,224,2.647789,2.021111
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,240,2.637488,1.916386
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,256,2.596776,1.859324
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,128,3.28583,2.378167
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,144,3.217058,2.379687
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,160,3.054012,2.227128
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,176,2.784287,2.099766
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,192,2.678063,2.001557
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,208,2.56357,1.985226
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,224,2.469393,1.910394
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --quantize-model=heckbert:cover=off:merge=none --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,240,2.4355,1.791789
