kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,8,7.10306,6.82738
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,16,4.888623,4.581046
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,32,3.919621,3.720539
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,64,3.11959,2.887216
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,128,2.624739,2.33618
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,256,2.162113,1.833049
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,8,7.125747,6.822985
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,16,4.904115,4.616209
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,32,3.981032,3.754946
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,64,3.207458,2.995544
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,128,2.749437,2.475784
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,256,2.448471,2.062422
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,8,7.109766,6.828852
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,16,4.91251,4.580878
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,32,3.936635,3.731356
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,64,3.137338,2.916675
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,128,2.667264,2.377571
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,256,2.23891,1.902066
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,8,7.102952,6.828817
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,16,4.887848,4.583477
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,32,3.919676,3.720283
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,64,3.120114,2.890586
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,128,2.625201,2.338562
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,256,2.160246,1.831859
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,8,7.077582,6.886167
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,16,4.889441,4.649303
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,32,3.817547,3.822092
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,64,3.167568,3.083745
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,128,2.776207,2.664125
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,256,2.473524,2.309031
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,8,6.819536,7.198546
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,16,5.021015,4.826033
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,32,3.910263,3.964184
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,64,3.309374,3.122284
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,128,2.788817,2.495281
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,256,2.250221,1.895945
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,8,7.105445,6.828254
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,16,4.885648,4.579664
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,32,3.91826,3.717984
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,64,3.118382,2.890435
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,128,2.625078,2.335434
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,256,2.161557,1.832612
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,8,7.10306,6.82738
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,16,4.888623,4.581046
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,32,3.919621,3.720539
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,64,3.11959,2.887216
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,128,2.624739,2.33618
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,256,2.162113,1.833049
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,8,7.10306,6.82738
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,16,4.888623,4.581046
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,32,3.919621,3.720539
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,64,3.11959,2.887216
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,128,2.624739,2.33618
image,command9,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=mahalanobis {input},images/snake.png,256,2.162113,1.833049
