kind,command,template,image,colors,MS-SSIM
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,8,0.916997
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,16,0.95359
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,32,0.97182
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,64,0.983473
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,128,0.9885
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,256,0.992358
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,8,0.912615
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,16,0.952053
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,32,0.969051
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,64,0.981209
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,128,0.985664
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,256,0.989076
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,8,0.91644
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,16,0.952793
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,32,0.970989
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,64,0.983091
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,128,0.987752
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=6bit {input},images/snake.png,256,0.991549
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,8,0.916713
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,16,0.953473
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,32,0.971839
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,64,0.983511
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,128,0.988592
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=certlut {input},images/snake.png,256,0.992399
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,8,0.916428
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,16,0.954127
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,32,0.975467
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,64,0.984764
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,128,0.989003
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=eytzinger {input},images/snake.png,256,0.992292
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,8,0.92861
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,16,0.954556
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,32,0.976035
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,64,0.979364
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,128,0.98605
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=fhedt {input},images/snake.png,256,0.991588
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,8,0.916576
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,16,0.953694
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,32,0.971973
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,64,0.983467
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,128,0.988503
image,command7,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=vptree {input},images/snake.png,256,0.992368
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,8,0.916997
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,16,0.95359
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,32,0.97182
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,64,0.983473
image,command8,{img2sixel} --threads=1 --precision=8bit --quality=full --loaders=libpng! --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs --gpu-policy=off -p {ncolors} --lookup-policy=rbc {input},images/snake.png,128,0.9885
