kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,128,2.188477,1.871095
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,144,2.141047,1.714066
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,160,2.086923,1.696096
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,176,2.030801,1.646435
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,192,1.987424,1.625805
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,208,1.959143,1.563103
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,224,1.89583,1.487805
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,240,1.862213,1.447325
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=none {input},images/snake.png,256,1.867762,1.455218
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,128,4.645266,2.971802
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,144,4.51453,2.968537
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,160,4.36371,2.83604
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,176,4.37779,2.828513
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,192,4.363248,2.89327
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,208,4.319218,2.886257
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --gpu-policy=off -p {ncolors} --lookup-policy=5bit {input},images/snake.png,224,4.282484,2.809737
