revision,platform,comparison,input,colors,variant,policy,threads,gpu_policy,shared_instance,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,command
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,8,CPU none,none,1,off,,9,0.03616708400659263,0.03507529105991125,0.036623416002839804,0.03459512512199581,0.036793499952182174,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=none -p 8 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,8,Metal none,none,1,force,,9,0.06614112481474876,0.06596258282661438,0.06628375011496246,0.06566191697493196,0.06689020805060863,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=force --lookup-policy=none -p 8 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,8,CPU eytzinger,eytzinger,1,off,,9,0.03382691717706621,0.033700249856337905,0.03391654184088111,0.03245658311061561,0.03427241602912545,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=eytzinger -p 8 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,8,Metal eytzinger,eytzinger,1,force,,9,0.06055495794862509,0.06018991721794009,0.061757792020216584,0.06010670820251107,0.06323354202322662,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=force --lookup-policy=eytzinger -p 8 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,16,CPU none,none,1,off,,9,0.039105874951928854,0.038690209155902267,0.039290166925638914,0.03764574998058379,0.03957733395509422,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=none -p 16 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,16,Metal none,none,1,force,,9,0.06705700000748038,0.06689766701310873,0.06735820788890123,0.06619845796376467,0.06768362503498793,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=force --lookup-policy=none -p 16 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,16,CPU eytzinger,eytzinger,1,off,,9,0.03595987497828901,0.035747708985581994,0.036129666958004236,0.034696249989792705,0.03649758314713836,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=eytzinger -p 16 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,16,Metal eytzinger,eytzinger,1,force,,9,0.061022582929581404,0.060717625077813864,0.06159141683019698,0.060357957845553756,0.06249904097057879,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=force --lookup-policy=eytzinger -p 16 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,32,CPU none,none,1,off,,9,0.04708112496882677,0.045184249989688396,0.05057683284394443,0.043363166972994804,0.05272520799189806,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=none -p 32 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,32,Metal none,none,1,force,,9,0.0742292501963675,0.0706320411991328,0.07779849995858967,0.06947758421301842,0.07939358404837549,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=force --lookup-policy=none -p 32 -o /dev/null {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,metal,images/snake.png,32,CPU eytzinger,eytzinger,1,off,,9,0.04088674997910857,0.03991999989375472,0.04159749997779727,0.038377707824110985,0.045811125077307224,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert --cover-policy=off --merge-policy=none --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=eytzinger -p 32 -o /dev/null {input}
