revision,platform,comparison,input,colors,variant,policy,threads,gpu_policy,shared_instance,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,command
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,5bit S0,5bit,8,off,0,9,0.048573125153779984,0.047043834114447236,0.04888845793902874,0.046626332914456725,0.049824707908555865,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=5bit:shared_instance=0 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,5bit S1,5bit,8,off,1,9,0.048317041946575046,0.04708808404393494,0.04928766586817801,0.046667708083987236,0.05068499990738928,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=5bit:shared_instance=1 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,6bit S0,6bit,8,off,0,9,0.048622458009049296,0.048168458975851536,0.04893650021404028,0.04586329194717109,0.049536915961652994,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=6bit:shared_instance=0 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,6bit S1,6bit,8,off,1,9,0.04824399994686246,0.04798887483775616,0.049123500008136034,0.046962167136371136,0.05008441582322121,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,certlut S0,certlut,8,off,0,9,0.04926812509074807,0.048354874830693007,0.049510749988257885,0.047319875098764896,0.0518049169331789,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=certlut:shared_instance=0 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,8,certlut S1,certlut,8,off,1,9,0.049347625114023685,0.048106875037774444,0.05035445909015834,0.04773679096251726,0.051055666990578175,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=certlut:shared_instance=1 -p 8 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,16,5bit S0,5bit,8,off,0,9,0.04988041706383228,0.0495450000744313,0.05081299995072186,0.04810304194688797,0.05405766703188419,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=5bit:shared_instance=0 -p 16 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,16,5bit S1,5bit,8,off,1,9,0.0489219578448683,0.04831745894625783,0.05065404181368649,0.04758708388544619,0.05281675001606345,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=5bit:shared_instance=1 -p 16 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,16,6bit S0,6bit,8,off,0,9,0.04883837513625622,0.04854887491092086,0.050030665937811136,0.04800633294507861,0.055246208095923066,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=6bit:shared_instance=0 -p 16 -o /dev/null {input}
c33493faa3bd17859b1f1fefbb4d534462f9d831,macOS-26.5.1-arm64-arm-64bit-Mach-O,shared_instance,images/snake.png,16,6bit S1,6bit,8,off,1,9,0.04882841696962714,0.04857824998907745,0.05269354209303856,0.0468189581297338,0.053611707873642445,{img2sixel} --threads=8 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=none:band_overwrap=0 --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 16 -o /dev/null {input}
