kind,command,template,image,colors,Δ E00_mean,Δ Chroma_mean,MS-SSIM
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,8,5.67385,6.785327,0.91315
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,16,4.159699,4.245701,0.939214
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,32,3.232178,3.111518,0.971227
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,64,2.622018,2.303117,0.980587
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,128,2.188477,1.871095,0.989243
image,command1,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Wgamma {input},images/snake.png,256,1.867762,1.455218,0.991971
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,8,5.488914,7.361689,0.937581
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,16,4.078057,4.734087,0.959292
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,32,3.067452,3.256292,0.977656
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,64,2.448312,2.504574,0.988007
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,128,2.032386,2.042525,0.993777
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab --diffusion=none --lookup-policy=none -p {ncolors} -Woklab {input},images/snake.png,256,1.674991,1.661374,0.995709
