merge_config,merge_label,colors,patch_size,probe_sample_count,ratio_classified_unreachable_volume_percent,ratio_classified_unreachable_area_percent,ambiguous_ratio_volume_percent
none,No final merge,32,8,512,46.484375,25.198739565481784,64.375
none,No final merge,32,16,512,43.5546875,20.987340372602134,55.0
none,No final merge,32,32,512,42.7734375,20.50527945160042,50.625
none,No final merge,32,64,512,42.1875,19.81756868815302,49.375
ward-l0,Ward only,32,8,512,75.390625,65.80794958261927,71.23893805309734
ward-l0,Ward only,32,16,512,73.4375,63.76471888993311,70.79646017699115
ward-l0,Ward only,32,32,512,73.046875,66.47907568135331,69.46902654867256
ward-l0,Ward only,32,64,512,72.65625,66.43484990878434,69.46902654867256
ward-l3,Ward + 3 Lloyd passes,32,8,512,78.90625,78.90541212891813,65.41666666666667
ward-l3,Ward + 3 Lloyd passes,32,16,512,78.125,80.97849521808834,65.41666666666667
ward-l3,Ward + 3 Lloyd passes,32,32,512,77.1484375,81.36104815080988,62.5
ward-l3,Ward + 3 Lloyd passes,32,64,512,77.1484375,81.30355464647023,61.666666666666664
