image_name esize ormode %ratio
picsum/1.jpg 534838 563209 105
picsum/2.jpg 731815 489467 66
picsum/3.jpg 1199346 611940 51
picsum/4.jpg 367737 384879 104
picsum/5.jpg 425645 494959 116
picsum/6.jpg 597740 568580 95
picsum/7.jpg 575320 541468 94
picsum/8.jpg 955394 569397 59
picsum/9.jpg 374910 431098 114
picsum/10.jpg 100289 109873 109
picsum/11.jpg 710563 484056 68
picsum/12.jpg 444832 417990 93
picsum/13.jpg 700668 529870 75
picsum/14.jpg 722297 532377 73
picsum/15.jpg 595482 488446 82
picsum/16.jpg 561802 431632 76
picsum/17.jpg 458782 445784 97
picsum/18.jpg 990965 584337 58
picsum/19.jpg 423761 441583 104
picsum/20.jpg 379485 410297 108
picsum/21.jpg 519997 486020 93
picsum/22.jpg 893110 590654 66
picsum/23.jpg 607913 519578 85
picsum/24.jpg 551655 432482 78
picsum/25.jpg 951209 561188 58
picsum/26.jpg 558579 400680 71
picsum/27.jpg 1092474 515293 47
picsum/28.jpg 937569 565747 60
picsum/29.jpg 581781 504810 86
picsum/30.jpg 262828 216628 82
picsum/31.jpg 934342 587743 62
picsum/32.jpg 681866 415974 61
picsum/33.jpg 934795 588976 63
picsum/34.jpg 829338 485383 58
picsum/35.jpg 540405 501120 92
picsum/36.jpg 614596 477688 77
picsum/37.jpg 667997 491767 73
picsum/38.jpg 570877 390869 68
picsum/39.jpg 265936 326949 122
picsum/40.jpg 408283 519150 127
picsum/41.jpg 551591 458370 83
picsum/42.jpg 651844 542751 83
picsum/43.jpg 541761 346975 64
picsum/44.jpg 596373 274402 46
picsum/45.jpg 294748 309892 105
picsum/46.jpg 840242 576383 68
picsum/47.jpg 632894 435695 68
picsum/48.jpg 548155 408578 74
picsum/49.jpg 845861 571620 67
picsum/50.jpg 1092474 515293 47
picsum/51.jpg 224045 315247 140
picsum/52.jpg 986477 526791 53
picsum/53.jpg 770727 481289 62
picsum/54.jpg 591228 459011 77
picsum/55.jpg 711481 580647 81
picsum/56.jpg 442241 471093 106
picsum/57.jpg 255700 172923 67
picsum/58.jpg 745325 515048 69
picsum/59.jpg 541198 528333 97
picsum/60.jpg 410524 431485 105
picsum/61.jpg 316660 350803 110
picsum/62.jpg 72061 82333 114
picsum/63.jpg 254971 202382 79
picsum/64.jpg 255700 172923 67
picsum/65.jpg 840242 576383 68
picsum/66.jpg 753219 516746 68
picsum/67.jpg 255700 172923 67
picsum/68.jpg 230246 255875 111
picsum/69.jpg 618575 314499 50
picsum/70.jpg 888654 615968 69
picsum/71.jpg 600004 501637 83
picsum/72.jpg 336647 400628 119
picsum/73.jpg 853264 605668 70
picsum/74.jpg 673765 462890 68
picsum/75.jpg 190208 206637 108
picsum/76.jpg 533251 511394 95
picsum/77.jpg 360893 447690 124
picsum/78.jpg 1159846 607568 52
picsum/79.jpg 545900 419578 76
picsum/80.jpg 450608 468628 103
picsum/81.jpg 474921 469553 98
picsum/82.jpg 1124547 617946 54
picsum/83.jpg 717815 523282 72
picsum/84.jpg 256024 217148 84
picsum/85.jpg 534838 563209 105
picsum/86.jpg 611272 384623 62
picsum/87.jpg 736022 470887 63
picsum/88.jpg 693235 512145 73
picsum/89.jpg 200929 194848 96
picsum/90.jpg 863035 607912 70
picsum/91.jpg 311159 396986 127
picsum/92.jpg 521671 446307 85
picsum/93.jpg 503786 518149 102
picsum/94.jpg 658488 466639 70
picsum/95.jpg 583138 447848 76
picsum/96.jpg 557373 472142 84
picsum/97.jpg 406482 478946 117
picsum/98.jpg 616002 323138 52
picsum/99.jpg 801100 498577 62
picsum/100.jpg 410029 470113 114
