image,colors,threads,defined_colors,normal_bytes,or_bytes,size_ratio,encode_normal_ms,encode_or_ms,decode_rgba_normal_ms,decode_rgba_or_ms,decode_indexed_normal_ms,decode_indexed_or_ms,decode_cli_normal_ms,decode_cli_or_ms,encode_cli_speedup,decode_rgba_speedup,decode_indexed_speedup,decode_cli_speedup,msssim,deltae
snake,2,1,2,34997,33712,0.9632825670771781,19.811583999398863,19.41304200045124,0.824,0.7,0.5900000000000001,0.544,23.062915999616962,23.072875001162174,1.0205296006127405,1.177142857142857,1.084558823529412,0.9995683675508704,0.696277,23.50317
snake,4,1,4,66384,63976,0.9637261990841166,21.024916999522247,20.682374999523745,1.121,1.0790000000000002,1.054,1.0230000000000001,27.791541999249603,27.73170900036348,1.0165620244293216,1.0389249304911954,1.0303030303030303,1.0021575662316857,0.736745,19.075333
snake,8,1,8,87927,100460,1.142538696873543,23.43499999915366,22.789750000811182,1.381,1.617,1.3110000000000002,1.632,24.577291998866713,24.605917000371846,1.0283131670298933,0.8540507111935685,0.8033088235294118,0.9988366618685781,0.83502,15.961645
snake,16,1,16,104209,123286,1.1830648024642785,25.115166999967187,24.63841600001615,1.464,1.9120000000000001,1.3860000000000001,2.028,27.680041999701643,28.151417000117362,1.0193499046347267,0.7656903765690376,0.6834319526627219,0.9832557273968214,0.91847,10.699538
snake,32,1,32,162190,196370,1.2107404895492941,35.0288339996041,33.87870799997472,2.109,3.065,2.006,3.191,31.904166000458645,32.86325000044599,1.033948343001458,0.6880913539967374,0.6286430586023191,0.9708159113911641,0.950489,7.917294
snake,64,1,64,205385,236754,1.152732672785257,38.65820899954997,36.98791600072582,2.357,3.847,2.368,4.067,35.02783400108456,36.374749999595224,1.0451578023155286,0.6126852092539642,0.5822473567740348,0.9629711269898582,0.973431,5.750345
snake,128,1,128,234008,268729,1.148375269221565,45.62950000035926,42.71112500100571,2.49,4.24,2.472,4.502,37.78754199993273,39.43037499993807,1.0683282165778782,0.5872641509433962,0.5490892936472679,0.9583358514848535,0.984365,3.88721
snake,256,1,256,299483,312223,1.042539977227422,54.25858399939898,48.66708300141909,2.841,4.9350000000000005,2.964,5.49,41.129374998490675,43.14729199904832,1.114892873234602,0.5756838905775076,0.5398907103825137,0.9532318969032366,0.991198,2.728167
egret,256,1,256,187590,232789,1.2409456794072178,31.180542000583955,29.253916998641216,2.004,3.504,1.954,3.732,31.255042000339017,32.78762499940058,1.0658587019998802,0.5719178082191781,0.5235798499464094,0.9532572731605422,0.994462,2.136528
egret,128,1,128,154203,212333,1.3769706166546696,28.45220800008974,27.253750000454602,1.848,3.307,1.7930000000000001,3.458,30.358625001099426,31.70312499969441,1.0439740586016657,0.5588146356214091,0.5185078079814922,0.9575909315372556,0.989444,2.91412
egret,64,1,64,129596,176737,1.3637535109108305,26.38466700045683,25.7347499991738,1.706,2.735,1.641,2.902,28.786250000848668,29.663875000551343,1.025254451716216,0.6237659963436929,0.5654720882150241,0.9704143507992006,0.979127,3.995316
egret,32,1,32,138521,183376,1.3238137177756442,25.24308300053235,24.248249999800464,1.825,2.748,1.813,2.8960000000000004,29.69716699954006,30.888792000041576,1.041027001979115,0.6641193595342068,0.62603591160221,0.9614220912070659,0.957201,6.999694
egret,16,1,16,74445,104715,1.4066089059036873,19.89687500099535,19.45983400037221,1.137,1.6540000000000001,1.05,1.7229999999999999,22.649958000329207,22.996790999968653,1.022458619154448,0.6874244256348246,0.6094022054556006,0.9849182001245339,0.924886,10.722998
egret,8,1,8,69176,109303,1.580071122932809,19.28395799950522,18.98066700050549,1.0610000000000002,1.694,0.968,1.689,25.152583000817685,25.73616699919512,1.0159789431526116,0.6263282172373082,0.5731201894612197,0.9773243623109966,0.881533,12.441137
egret,4,1,4,35368,44254,1.2512440624293146,17.215709000083734,16.726042000300367,0.629,0.8130000000000001,0.535,0.746,20.635457998650963,20.534999999654246,1.0292757246319586,0.7736777367773677,0.7171581769436997,1.004892037935155,0.857494,15.687907
egret,2,1,2,19641,18998,0.9672623593503386,15.923167000437388,15.362000000095577,0.42700000000000005,0.412,0.315,0.323,22.13487500011979,21.9613749995915,1.0365295534655852,1.0364077669902914,0.9752321981424149,1.0079002339576424,0.743403,16.213556
autumn-resized,2,1,2,31034,28357,0.9137397692853,25.63291700062109,25.480457999947248,0.641,0.603,0.508,0.456,23.226874998727,22.56649999981164,1.0059833697131408,1.0630182421227197,1.1140350877192982,1.0292635100224168,0.679001,15.488887
autumn-resized,4,1,4,80078,72296,0.9028197507430256,27.880874999027583,27.177459000085946,1.343,1.3079999999999998,1.224,1.217,27.58387500034587,27.457958000013605,1.0258823313444945,1.0267584097859328,1.0057518488085457,1.0045858107996306,0.848515,11.196542
autumn-resized,8,1,8,118808,103139,0.868114941754764,29.29483300067659,28.183833001094172,1.701,1.758,1.665,1.776,28.87495899994974,28.81566700125404,1.039419762370125,0.9675767918088737,0.9375,1.0020576306178552,0.936113,6.622141
autumn-resized,16,1,16,175407,152061,0.8669038293796713,32.04337500028487,30.318334000185132,2.18,2.4299999999999997,2.145,2.528,33.31645799880789,33.39675000097486,1.056897618453877,0.8971193415637861,0.8484968354430381,0.9975958138991181,0.969799,5.541378
autumn-resized,32,1,32,296071,244326,0.8252277325371279,41.6187920000084,37.70341699964774,3.233,4.224,3.184,4.3870000000000005,41.58666699913738,42.25241600033769,1.1038466884950304,0.7653882575757576,0.7257807157510827,0.9842435281997841,0.985222,4.714203
autumn-resized,64,1,64,369694,301206,0.8147440856492126,47.35995900045964,40.478709001035895,3.645,5.172000000000001,3.629,5.472,46.084833000350045,47.2816250003234,1.1699967753232359,0.7047563805104408,0.6631944444444444,0.9746880104064704,0.991958,3.239325
autumn-resized,128,1,128,480330,361467,0.7525388795203298,56.262750000314554,43.40645800039056,4.3629999999999995,6.388,4.332,6.723,55.54241699974227,56.926541999928304,1.2961838535594938,0.6829993738259236,0.644355198572066,0.97568577061667,0.995918,2.377378
autumn-resized,256,1,256,596776,420598,0.7047837044385163,68.41866600007052,46.40662500059989,4.884,7.457,4.8919999999999995,7.896999999999999,61.07487500048592,65.51108399980876,1.4743297104494473,0.654955075767735,0.6194757502849183,0.932283077481426,0.997689,1.727537
fisheye-resized,256,1,256,631040,484553,0.7678641607505071,81.40341699981946,61.17962500138674,5.305,8.142,5.2620000000000005,8.548,61.41845800084411,63.827334000961855,1.3305641706364546,0.6515598133136822,0.6155825924192794,0.9622594921467119,0.996761,2.010642
fisheye-resized,128,1,128,535217,432148,0.8074257730976407,67.93041600030847,55.20566700033669,4.8999999999999995,7.403,4.854,7.749,57.73345800116658,59.756874999948195,1.23049715167637,0.6618938268269621,0.6264034068912118,0.9661391764749517,0.993322,2.945145
