revision,platform,input,colors,domain,config,label,option,precision,precision_label,work_format,preflight_quantizer_retries,MS-SSIM,MS-SSIM_delta_vs_8bit,Delta E00_mean,Delta E00_delta_vs_8bit,Delta Chroma_mean,encoded_bytes,encoded_size_ratio_vs_8bit,speed_runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,speed_ratio_vs_8bit,command,assessment_command,speed_command
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-compat,heckbert / compat,heckbert:profile=compat,8bit,8-bit,rgb888,0,0.949159,0.0,5.151648,0.0,3.552605,122195,1.0,7,0.067136500030756,0.06394008349161595,0.06942858349066228,0.06327350018545985,0.07231566682457924,1.0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-compat,heckbert / compat,heckbert:profile=compat,float32,float32,rgb-f32,0,0.949079,-7.999999999996898e-05,5.151843,0.00019500000000061135,3.551632,122212,1.0001391218953313,7,0.08151799999177456,0.07752958335913718,0.08459779189433903,0.07718249992467463,0.08739358419552445,1.2142128343662573,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-speed,heckbert / speed,heckbert:profile=speed,8bit,8-bit,rgb888,0,0.949159,0.0,5.151648,0.0,3.552605,122195,1.0,7,0.06580949993804097,0.06308431248180568,0.06729191658087075,0.06264837505295873,0.0721399171743542,1.0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-speed,heckbert / speed,heckbert:profile=speed,float32,float32,rgb-f32,0,0.949079,-7.999999999996898e-05,5.151843,0.00019500000000061135,3.551632,122212,1.0001391218953313,7,0.0807514579501003,0.07655152096413076,0.0832262709736824,0.07594345789402723,0.08773087500594556,1.2270486483885616,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-quality,heckbert / quality,heckbert:profile=quality,8bit,8-bit,rgb888,0,0.982641,0.0,2.651901,0.0,2.278824,147976,1.0,7,0.07234162488020957,0.0715082079404965,0.07505687442608178,0.07005862519145012,0.08083616709336638,1.0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,heckbert-quality,heckbert / quality,heckbert:profile=quality,float32,float32,rgb-f32,0,0.982634,-6.999999999979245e-06,2.651814,-8.700000000017027e-05,2.278654,147941,0.9997634751581338,7,0.08566970797255635,0.08462195843458176,0.09104660444427282,0.08408341719768941,0.09577474999241531,1.1842380941044213,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,kmeans,k-means,kmeans:seed=1,8bit,8-bit,rgb888,0,0.979406,0.0,2.729795,0.0,2.510939,133234,1.0,7,0.06914929207414389,0.0679636454442516,0.0731467914301902,0.0662062088958919,0.07838858384639025,1.0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,kmeans,k-means,kmeans:seed=1,float32,float32,rgb-f32,0,0.979477,7.100000000004325e-05,2.728859,-0.00093600000000027,2.512238,133349,1.000863143041566,7,0.08185066701844335,0.0806385000469163,0.08519814594183117,0.07957416586577892,0.09248662507161498,1.1836804768829834,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,medoids-pam,PAM,medoids:algo=pam:seed=1,8bit,8-bit,rgb888,0,0.976836,0.0,2.835263,0.0,2.420131,134857,1.0,7,0.06486441590823233,0.06408608285710216,0.06863352097570896,0.06326879211701453,0.07167058298364282,1.0,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
194bc906098e9918b30bd62a715ceec5fa738e2f,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,quantizer,medoids-pam,PAM,medoids:algo=pam:seed=1,float32,float32,rgb-f32,0,0.976826,-1.0000000000065512e-05,2.834536,-0.0007269999999999222,2.418966,134789,0.9994957621777142,7,0.07849354203790426,0.07693554146680981,0.08313552103936672,0.0758565419819206,0.08591595897451043,1.2101171488070424,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 '{input}','{lsqa}' '{input}' -,'{img2sixel}' --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 -o '{devnull}' '{input}'
