scenario,method,coordinate,response
enlarge-4x,nearest,-8.37500000,0.00000000
enlarge-4x,nearest,-8.12500000,0.00000000
enlarge-4x,nearest,-7.87500000,0.00000000
enlarge-4x,nearest,-7.62500000,0.00000000
enlarge-4x,nearest,-7.37500000,0.00000000
enlarge-4x,nearest,-7.12500000,0.00000000
enlarge-4x,nearest,-6.87500000,0.00000000
enlarge-4x,nearest,-6.62500000,0.00000000
enlarge-4x,nearest,-6.37500000,0.00000000
enlarge-4x,nearest,-6.12500000,0.00000000
enlarge-4x,nearest,-5.87500000,0.00000000
enlarge-4x,nearest,-5.62500000,0.00000000
enlarge-4x,nearest,-5.37500000,0.00000000
enlarge-4x,nearest,-5.12500000,0.00000000
enlarge-4x,nearest,-4.87500000,0.00000000
enlarge-4x,nearest,-4.62500000,0.00000000
enlarge-4x,nearest,-4.37500000,0.00000000
enlarge-4x,nearest,-4.12500000,0.00000000
enlarge-4x,nearest,-3.87500000,0.00000000
enlarge-4x,nearest,-3.62500000,0.00000000
enlarge-4x,nearest,-3.37500000,0.00000000
enlarge-4x,nearest,-3.12500000,0.00000000
enlarge-4x,nearest,-2.87500000,0.00000000
enlarge-4x,nearest,-2.62500000,0.00000000
enlarge-4x,nearest,-2.37500000,0.00000000
enlarge-4x,nearest,-2.12500000,0.00000000
enlarge-4x,nearest,-1.87500000,0.00000000
enlarge-4x,nearest,-1.62500000,0.00000000
enlarge-4x,nearest,-1.37500000,0.00000000
enlarge-4x,nearest,-1.12500000,0.00000000
enlarge-4x,nearest,-0.87500000,0.00000000
enlarge-4x,nearest,-0.62500000,0.00000000
enlarge-4x,nearest,-0.37500000,1.00000000
enlarge-4x,nearest,-0.12500000,1.00000000
enlarge-4x,nearest,0.12500000,1.00000000
enlarge-4x,nearest,0.37500000,1.00000000
enlarge-4x,nearest,0.62500000,0.00000000
enlarge-4x,nearest,0.87500000,0.00000000
enlarge-4x,nearest,1.12500000,0.00000000
enlarge-4x,nearest,1.37500000,0.00000000
enlarge-4x,nearest,1.62500000,0.00000000
enlarge-4x,nearest,1.87500000,0.00000000
enlarge-4x,nearest,2.12500000,0.00000000
enlarge-4x,nearest,2.37500000,0.00000000
enlarge-4x,nearest,2.62500000,0.00000000
enlarge-4x,nearest,2.87500000,0.00000000
enlarge-4x,nearest,3.12500000,0.00000000
enlarge-4x,nearest,3.37500000,0.00000000
enlarge-4x,nearest,3.62500000,0.00000000
enlarge-4x,nearest,3.87500000,0.00000000
enlarge-4x,nearest,4.12500000,0.00000000
enlarge-4x,nearest,4.37500000,0.00000000
enlarge-4x,nearest,4.62500000,0.00000000
enlarge-4x,nearest,4.87500000,0.00000000
enlarge-4x,nearest,5.12500000,0.00000000
enlarge-4x,nearest,5.37500000,0.00000000
enlarge-4x,nearest,5.62500000,0.00000000
enlarge-4x,nearest,5.87500000,0.00000000
enlarge-4x,nearest,6.12500000,0.00000000
enlarge-4x,nearest,6.37500000,0.00000000
enlarge-4x,nearest,6.62500000,0.00000000
enlarge-4x,nearest,6.87500000,0.00000000
enlarge-4x,nearest,7.12500000,0.00000000
enlarge-4x,nearest,7.37500000,0.00000000
enlarge-4x,nearest,7.62500000,0.00000000
enlarge-4x,nearest,7.87500000,0.00000000
enlarge-4x,nearest,8.12500000,0.00000000
enlarge-4x,nearest,8.37500000,0.00000000
enlarge-4x,gaussian,-8.37500000,0.00000000
enlarge-4x,gaussian,-8.12500000,0.00000000
enlarge-4x,gaussian,-7.87500000,0.00000000
enlarge-4x,gaussian,-7.62500000,0.00000000
enlarge-4x,gaussian,-7.37500000,0.00000000
enlarge-4x,gaussian,-7.12500000,0.00000000
enlarge-4x,gaussian,-6.87500000,0.00000000
enlarge-4x,gaussian,-6.62500000,0.00000000
enlarge-4x,gaussian,-6.37500000,0.00000000
enlarge-4x,gaussian,-6.12500000,0.00000000
enlarge-4x,gaussian,-5.87500000,0.00000000
enlarge-4x,gaussian,-5.62500000,0.00000000
enlarge-4x,gaussian,-5.37500000,0.00000000
enlarge-4x,gaussian,-5.12500000,0.00000000
enlarge-4x,gaussian,-4.87500000,0.00000000
enlarge-4x,gaussian,-4.62500000,0.00000000
enlarge-4x,gaussian,-4.37500000,0.00000000
enlarge-4x,gaussian,-4.12500000,0.00000000
enlarge-4x,gaussian,-3.87500000,0.00000000
enlarge-4x,gaussian,-3.62500000,0.00000000
enlarge-4x,gaussian,-3.37500000,0.00000000
enlarge-4x,gaussian,-3.12500000,0.00000000
enlarge-4x,gaussian,-2.87500000,0.00000000
enlarge-4x,gaussian,-2.62500000,0.00000000
enlarge-4x,gaussian,-2.37500000,0.00000000
enlarge-4x,gaussian,-2.12500000,0.00000000
enlarge-4x,gaussian,-1.87500000,0.00000000
enlarge-4x,gaussian,-1.62500000,0.00000000
enlarge-4x,gaussian,-1.37500000,0.01844978
enlarge-4x,gaussian,-1.12500000,0.06289005
enlarge-4x,gaussian,-0.87500000,0.17095280
enlarge-4x,gaussian,-0.62500000,0.37057495
enlarge-4x,gaussian,-0.37500000,0.61097527
enlarge-4x,gaussian,-0.12500000,0.76615715
enlarge-4x,gaussian,0.12500000,0.76615715
enlarge-4x,gaussian,0.37500000,0.61097527
enlarge-4x,gaussian,0.62500000,0.37057495
enlarge-4x,gaussian,0.87500000,0.17095280
enlarge-4x,gaussian,1.12500000,0.06289005
enlarge-4x,gaussian,1.37500000,0.01844978
enlarge-4x,gaussian,1.62500000,0.00000000
enlarge-4x,gaussian,1.87500000,0.00000000
enlarge-4x,gaussian,2.12500000,0.00000000
enlarge-4x,gaussian,2.37500000,0.00000000
enlarge-4x,gaussian,2.62500000,0.00000000
