method,frequency_cycles_per_output_pixel,contrast_gain,region
nearest,0.00781250,0.99999994,passband
gaussian,0.00781250,0.99974537,passband
hanning,0.00781250,0.99982946,passband
hamming,0.00781250,0.99977351,passband
bilinear,0.00781250,0.99979289,passband
welsh,0.00781250,0.99975180,passband
bicubic,0.00781250,1.00016105,passband
lanczos2,0.00781250,0.99999994,passband
lanczos3,0.00781250,1.00000005,passband
lanczos4,0.00781250,0.99999994,passband
nearest,0.02343750,0.99999994,passband
gaussian,0.02343750,0.99771063,passband
hanning,0.02343750,0.99846611,passband
hamming,0.02343750,0.99796341,passband
bilinear,0.02343750,0.99813779,passband
welsh,0.02343750,0.99776784,passband
bicubic,0.02343750,1.00143799,passband
lanczos2,0.02343750,0.99999436,passband
lanczos3,0.02343750,1.00000605,passband
lanczos4,0.02343750,0.99999278,passband
nearest,0.03906250,0.99999994,passband
gaussian,0.03906250,0.99365136,passband
hanning,0.03906250,0.99574469,passband
hamming,0.03906250,0.99435247,passband
bilinear,0.03906250,0.99483400,passband
welsh,0.03906250,0.99380825,passband
bicubic,0.03906250,1.00393256,passband
lanczos2,0.03906250,0.99995653,passband
lanczos3,0.03906250,1.00004599,passband
lanczos4,0.03906250,0.99994673,passband
nearest,0.05468750,0.99999994,passband
gaussian,0.05468750,0.98758833,passband
hanning,0.05468750,0.99167531,passband
hamming,0.05468750,0.98895926,passband
bilinear,0.05468750,0.98989492,passband
welsh,0.05468750,0.98789041,passband
bicubic,0.05468750,1.00752695,passband
lanczos2,0.05468750,0.99983357,passband
lanczos3,0.05468750,1.00017158,passband
lanczos4,0.05468750,0.99980680,passband
nearest,0.07031250,0.99999994,passband
gaussian,0.07031250,0.97955229,passband
hanning,0.07031250,0.98627366,passband
hamming,0.07031250,0.98181136,passband
bilinear,0.07031250,0.98334035,passband
welsh,0.07031250,0.98003951,passband
bicubic,0.07031250,1.01204825,passband
lanczos2,0.07031250,0.99954834,passband
lanczos3,0.07031250,1.00045112,passband
lanczos4,0.07031250,0.99951177,passband
nearest,0.08593750,0.99999994,passband
gaussian,0.08593750,0.96958393,passband
hanning,0.08593750,0.97955998,passband
hamming,0.08593750,0.97294514,passband
bilinear,0.08593750,0.97519620,passband
welsh,0.08593750,0.97028926,passband
bicubic,0.08593750,1.01727288,passband
lanczos2,0.08593750,0.99900053,passband
lanczos3,0.08593750,1.00095804,passband
lanczos4,0.08593750,0.99901486,passband
nearest,0.10156250,0.99999994,passband
gaussian,0.10156250,0.95773371,passband
hanning,0.10156250,0.97155956,passband
hamming,0.10156250,0.96240569,passband
bilinear,0.10156250,0.96549526,passband
welsh,0.10156250,0.95868159,passband
bicubic,0.10156250,1.02293162,passband
lanczos2,0.10156250,0.99806962,passband
