method,angle_degrees,radial_frequency,contrast_gain,relative_to_angle_mean
nearest,0.0,0.45000000,1.00319119,1.00285474
nearest,5.0,0.45000000,1.00001311,0.99967772
nearest,10.0,0.45000000,1.00000078,0.99966540
nearest,15.0,0.45000000,0.99999530,0.99965992
nearest,20.0,0.45000000,0.99999815,0.99966277
nearest,25.0,0.45000000,1.00000142,0.99966603
nearest,30.0,0.45000000,0.99998487,0.99964949
nearest,35.0,0.45000000,1.00000637,0.99967098
nearest,40.0,0.45000000,0.99999836,0.99966298
nearest,45.0,0.45000000,0.99999520,0.99965982
nearest,50.0,0.45000000,0.99999847,0.99966308
nearest,55.0,0.45000000,1.00000637,0.99967098
nearest,60.0,0.45000000,0.99998487,0.99964949
nearest,65.0,0.45000000,1.00000142,0.99966603
nearest,70.0,0.45000000,0.99999815,0.99966277
nearest,75.0,0.45000000,0.99999530,0.99965992
nearest,80.0,0.45000000,1.00000078,0.99966540
nearest,85.0,0.45000000,1.00001311,0.99967772
nearest,90.0,0.45000000,1.00319119,1.00285474
gaussian,0.0,0.45000000,0.40228448,0.98441300
gaussian,5.0,0.45000000,0.40210493,0.98397364
gaussian,10.0,0.45000000,0.40336417,0.98705508
gaussian,15.0,0.45000000,0.40530074,0.99179397
gaussian,20.0,0.45000000,0.40767977,0.99761560
gaussian,25.0,0.45000000,0.41022147,1.00383527
gaussian,30.0,0.45000000,0.41262969,1.00972831
gaussian,35.0,0.45000000,0.41458785,1.01452006
gaussian,40.0,0.45000000,0.41587797,1.01767705
gaussian,45.0,0.45000000,0.41632704,1.01877596
gaussian,50.0,0.45000000,0.41587800,1.01767711
gaussian,55.0,0.45000000,0.41458785,1.01452006
gaussian,60.0,0.45000000,0.41262971,1.00972838
gaussian,65.0,0.45000000,0.41022147,1.00383527
gaussian,70.0,0.45000000,0.40767977,0.99761560
gaussian,75.0,0.45000000,0.40530074,0.99179397
gaussian,80.0,0.45000000,0.40336417,0.98705508
gaussian,85.0,0.45000000,0.40210491,0.98397358
gaussian,90.0,0.45000000,0.40228448,0.98441300
hanning,0.0,0.45000000,0.56110389,0.99783547
hanning,5.0,0.45000000,0.56037686,0.99654256
hanning,10.0,0.45000000,0.56074359,0.99719473
hanning,15.0,0.45000000,0.56130651,0.99819580
hanning,20.0,0.45000000,0.56198660,0.99940524
hanning,25.0,0.45000000,0.56270568,1.00068401
hanning,30.0,0.45000000,0.56339125,1.00190319
hanning,35.0,0.45000000,0.56393137,1.00286369
hanning,40.0,0.45000000,0.56429404,1.00350865
hanning,45.0,0.45000000,0.56442037,1.00373332
hanning,50.0,0.45000000,0.56429404,1.00350865
hanning,55.0,0.45000000,0.56393137,1.00286369
hanning,60.0,0.45000000,0.56339125,1.00190319
hanning,65.0,0.45000000,0.56270568,1.00068401
hanning,70.0,0.45000000,0.56198660,0.99940524
hanning,75.0,0.45000000,0.56130651,0.99819580
hanning,80.0,0.45000000,0.56074359,0.99719473
hanning,85.0,0.45000000,0.56037686,0.99654256
hanning,90.0,0.45000000,0.56110389,0.99783547
hamming,0.0,0.45000000,0.46809691,1.00006776
hamming,5.0,0.45000000,0.46741566,0.99861230
hamming,10.0,0.45000000,0.46752640,0.99884889
hamming,15.0,0.45000000,0.46769921,0.99921807
hamming,20.0,0.45000000,0.46790652,0.99966098
hamming,25.0,0.45000000,0.46812847,1.00013518
hamming,30.0,0.45000000,0.46835011,1.00060870
hamming,35.0,0.45000000,0.46851791,1.00096719
hamming,40.0,0.45000000,0.46863803,1.00122382
hamming,45.0,0.45000000,0.46868023,1.00131398
hamming,50.0,0.45000000,0.46863803,1.00122382
hamming,55.0,0.45000000,0.46851791,1.00096719
hamming,60.0,0.45000000,0.46835011,1.00060870
hamming,65.0,0.45000000,0.46812847,1.00013518
hamming,70.0,0.45000000,0.46790652,0.99966098
hamming,75.0,0.45000000,0.46769926,0.99921819
hamming,80.0,0.45000000,0.46752646,0.99884900
hamming,85.0,0.45000000,0.46741566,0.99861230
hamming,90.0,0.45000000,0.46809691,1.00006776
bilinear,0.0,0.45000000,0.47821358,0.98813548
bilinear,5.0,0.45000000,0.47789316,0.98747339
bilinear,10.0,0.45000000,0.47906005,0.98988454
bilinear,15.0,0.45000000,0.48085292,0.99358916
bilinear,20.0,0.45000000,0.48305025,0.99812951
bilinear,25.0,0.45000000,0.48539287,1.00297009
bilinear,30.0,0.45000000,0.48761048,1.00755235
bilinear,35.0,0.45000000,0.48940826,1.01126710
bilinear,40.0,0.45000000,0.49059290,1.01371494
bilinear,45.0,0.45000000,0.49100520,1.01456688
bilinear,50.0,0.45000000,0.49059295,1.01371505
bilinear,55.0,0.45000000,0.48940826,1.01126710
bilinear,60.0,0.45000000,0.48761048,1.00755235
bilinear,65.0,0.45000000,0.48539287,1.00297009
bilinear,70.0,0.45000000,0.48305025,0.99812951
bilinear,75.0,0.45000000,0.48085292,0.99358916
bilinear,80.0,0.45000000,0.47905999,0.98988443
bilinear,85.0,0.45000000,0.47789316,0.98747339
bilinear,90.0,0.45000000,0.47821358,0.98813548
welsh,0.0,0.45000000,0.38774827,0.96722206
welsh,5.0,0.45000000,0.38802591,0.96791463
welsh,10.0,0.45000000,0.39052074,0.97413788
welsh,15.0,0.45000000,0.39435086,0.98369196
welsh,20.0,0.45000000,0.39905355,0.99542263
welsh,25.0,0.45000000,0.40406866,1.00793260
welsh,30.0,0.45000000,0.40880162,1.01973878
welsh,35.0,0.45000000,0.41265626,1.02935403
welsh,40.0,0.45000000,0.41518402,1.03565942
welsh,45.0,0.45000000,0.41606302,1.03785204
welsh,50.0,0.45000000,0.41518402,1.03565942
welsh,55.0,0.45000000,0.41265626,1.02935403
welsh,60.0,0.45000000,0.40880162,1.01973878
welsh,65.0,0.45000000,0.40406866,1.00793260
welsh,70.0,0.45000000,0.39905355,0.99542263
welsh,75.0,0.45000000,0.39435086,0.98369196
welsh,80.0,0.45000000,0.39052074,0.97413788
welsh,85.0,0.45000000,0.38802588,0.96791456
welsh,90.0,0.45000000,0.38774829,0.96722212
bicubic,0.0,0.45000000,0.64817575,0.83604446
bicubic,5.0,0.45000000,0.65492135,0.84474522
bicubic,10.0,0.45000000,0.67736919,0.87369938
bicubic,15.0,0.45000000,0.71232499,0.91878686
bicubic,20.0,0.45000000,0.75612674,0.97528420
bicubic,25.0,0.45000000,0.80387390,1.03687051
bicubic,30.0,0.45000000,0.84983773,1.09615659
bicubic,35.0,0.45000000,0.88806234,1.14546031
bicubic,40.0,0.45000000,0.91340850,1.17815286
bicubic,45.0,0.45000000,0.92228273,1.18959922
bicubic,50.0,0.45000000,0.91340850,1.17815286
bicubic,55.0,0.45000000,0.88806234,1.14546031
bicubic,60.0,0.45000000,0.84983773,1.09615659
bicubic,65.0,0.45000000,0.80387390,1.03687051
bicubic,70.0,0.45000000,0.75612674,0.97528420
bicubic,75.0,0.45000000,0.71232499,0.91878686
bicubic,80.0,0.45000000,0.67736924,0.87369945
bicubic,85.0,0.45000000,0.65492135,0.84474522
bicubic,90.0,0.45000000,0.64817570,0.83604439
lanczos2,0.0,0.45000000,0.61331978,0.90855180
lanczos2,5.0,0.45000000,0.61625663,0.91290235
lanczos2,10.0,0.45000000,0.62744498,0.92947641
lanczos2,15.0,0.45000000,0.64474505,0.95510416
lanczos2,20.0,0.45000000,0.66621560,0.98690994
lanczos2,25.0,0.45000000,0.68937577,1.02121865
lanczos2,30.0,0.45000000,0.71145192,1.05392153
lanczos2,35.0,0.45000000,0.72964234,1.08086823
lanczos2,40.0,0.45000000,0.74163354,1.09863160
lanczos2,45.0,0.45000000,0.74581820,1.10483061
lanczos2,50.0,0.45000000,0.74163354,1.09863160
lanczos2,55.0,0.45000000,0.72964234,1.08086823
lanczos2,60.0,0.45000000,0.71145192,1.05392153
lanczos2,65.0,0.45000000,0.68937582,1.02121873
lanczos2,70.0,0.45000000,0.66621560,0.98690994
lanczos2,75.0,0.45000000,0.64474505,0.95510416
lanczos2,80.0,0.45000000,0.62744498,0.92947641
lanczos2,85.0,0.45000000,0.61625657,0.91290227
lanczos2,90.0,0.45000000,0.61331983,0.90855188
lanczos3,0.0,0.45000000,0.67633717,0.85325197
lanczos3,5.0,0.45000000,0.68096826,0.85909445
lanczos3,10.0,0.45000000,0.69804453,0.88063750
lanczos3,15.0,0.45000000,0.72653517,0.91658065
lanczos3,20.0,0.45000000,0.76546058,0.96568808
lanczos3,25.0,0.45000000,0.81192348,1.02430464
lanczos3,30.0,0.45000000,0.86056478,1.08566944
lanczos3,35.0,0.45000000,0.90390344,1.14034453
lanczos3,40.0,0.45000000,0.93406762,1.17839899
lanczos3,45.0,0.45000000,0.94489578,1.19205955
lanczos3,50.0,0.45000000,0.93406762,1.17839899
lanczos3,55.0,0.45000000,0.90390344,1.14034453
lanczos3,60.0,0.45000000,0.86056478,1.08566944
lanczos3,65.0,0.45000000,0.81192348,1.02430464
lanczos3,70.0,0.45000000,0.76546047,0.96568795
lanczos3,75.0,0.45000000,0.72653522,0.91658072
lanczos3,80.0,0.45000000,0.69804453,0.88063750
lanczos3,85.0,0.45000000,0.68096826,0.85909445
lanczos3,90.0,0.45000000,0.67633717,0.85325197
lanczos4,0.0,0.45000000,0.72618051,0.85401059
lanczos4,5.0,0.45000000,0.73203686,0.86089784
lanczos4,10.0,0.45000000,0.75205377,0.88443834
lanczos4,15.0,0.45000000,0.78310599,0.92095670
lanczos4,20.0,0.45000000,0.82299930,0.96787246
