method,rms_error_vs_area_reference,output_sha256
nearest,0.34155837,53c4a6eab72756b6cb660183b22b65f22c8308cc08bf2570d6a509d81ddefb82
gaussian,0.05252994,db1f841ae431cf132313c975fd1a9f6963c0d8cd3d837c18f32c74d7b52d5cbc
hanning,0.03656367,6b1c046c9d1591f196b72c7c5bd52eeaef4464a412803733fcb16d8d29cf72a5
hamming,0.04458578,bb9fbdf7a9859b92a2c2ee74080fdce4d9aa255b6ff88b00a8de60f4f2d64aae
bilinear,0.04771278,6204f35cb5fd4d5ad6107a3c38a14d564f8ec35265f8c2fce70161723c2a015a
welsh,0.05698429,250f9d87666172e8f05d6f5fb2852bd36a48b64bc9c25812f8a7b896cceb3dd7
bicubic,0.04773239,7b4df651129c0998968856bc5b463bb925e76721d322045453f01366a10b4fbb
lanczos2,0.04094734,1fc38d2940f56a30b34edc039debfa05ab87d1b9c2a87fd8c7bc8d92d98aee92
lanczos3,0.04609208,8a641f3eed4d43922ac580a338182b0cae6d3b4c391191d5ba95ef2a67119a6d
lanczos4,0.04933027,93f549b2583d72a79eafc7a135e40964a6016d5591bb0114129aa0b4420c952a
