method,ms_ssim,delta_e00_mean,delta_chroma_mean,gmsd,psnr_y,sixel_bytes,sixel_sha256,decoded_png_sha256,command,assessment_command
nearest,0.992343,0.927210,1.389183,0.028291,43.085148,54242,55df3c83848228a7c889991573c62a44e1d801871367310aea211acedd255caa,f1d33436703b105e63795d16696e03a392ac8d63591b70d97ea9c796cd01065d,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rnearest -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
gaussian,0.996807,0.504872,0.713849,0.008949,47.635544,48812,4eac807fc226bd60b419a39e1f811ffd2810cad9feb92fc9dd41b269146c8336,602c42ea4879e52f32a7914da5edf49d34113c3716478b8faa330bdbaab8ba0d,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rgaussian -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
hanning,0.997100,0.447357,0.613367,0.007668,48.217018,51861,fc9a14867d278cd24b9ef29ae354abf06dd6ca411fd29b15680c859018a8ea99,5cb5c2489b5c612be5a7c0a93af97f404f05e3fc7af2d52707a7c691595d9377,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rhanning -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
hamming,0.997012,0.482818,0.669532,0.008238,48.022072,51205,eb0b680839f235f63fd526a2a58b57eb09a8ff7d567b6278ee51ebf0d239e8fc,e7d69d03cfb2728b8b7ea672d13995e279c3ab691089e64b15d9e09da10a98cf,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rhamming -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
bilinear,0.997410,0.455853,0.637808,0.007389,48.540092,50776,a602c912cf5de6f9c3073fbfd5caefe3c9a7793797df2693050a1e088bd0d7f9,b9148ec6029893708dfab597121abdd073ec871cb367d84d953ff9fb6e5847d7,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
welsh,0.997057,0.478662,0.668055,0.007920,48.022766,49679,88501a041bfaaae24845d6ffee2e5e1d01c753614a150e2d97785d6722357074,3bce8f97d271c75d24d74a758f8a8c3099eed27c4f1e1fc946b80c5f713f0073,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rwelsh -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
bicubic,0.997034,0.542370,0.774136,0.008510,47.525677,52585,78434e1ff6c0bcb359f286deb0666ef28b43d55ae02ed8c97b29f2054a32535a,e684f99373c202251df52e8c26a9b153a7c15b33e7c40654aae073453c70ebb4,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rbicubic -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
lanczos2,0.997431,0.453803,0.633533,0.006875,48.536167,52884,90e145a68f2a398e50efea9425dbb30187d980893a5413d5644f82fbb9c1b803,40d0a6187143b7826504fcbe58a0f3437ecf73b499aa1ac865508f94869ebdaa,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rlanczos2 -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
lanczos3,0.997343,0.491543,0.698956,0.007394,48.278728,51789,186967408074b23c20c72fdf26af9d500f9b9d4483bd19439f573e5e84ffa6f1,ee8662b04b3da22362bb75e0bb36c2710397d4bde0fa4c4148cf9caef7bf6f31,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rlanczos3 -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
lanczos4,0.997567,0.486176,0.691591,0.007106,48.597637,52028,5cbdabbaa70e337ccdad4d4e20d1526368cf76a819d3139d26d339ceeb0fef19,5e63ed9e7da9fa409a6b6220c5ce71a589ca0a2d878bd24e0bab57a9e1d074ab,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w200 -h150 -rlanczos4 -jscalar:resize_precision=linear -o '{output}' '{input}','{lsqa}' -Woklab -Pfloat32 '{area_reference}' '{decoded_output}'
