method,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms,samples_ms,command
nearest,286.200666,285.737875,286.349458,282.149959,334.372541,286.200666;286.121375;334.372541;286.208542;286.349458;282.149959;287.441875;285.737875;284.572250,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rnearest -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
gaussian,346.908291,346.103125,348.008959,343.197958,353.550208,347.611416;345.470584;346.908291;353.550208;350.332208;343.197958;348.008959;346.103125;346.859708,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rgaussian -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
hanning,359.603750,359.065250,360.834208,356.591250,361.851875,360.237959;359.603750;361.238458;361.851875;359.065250;356.591250;360.834208;357.296458;359.184291,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rhanning -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
hamming,363.300333,359.522708,364.385000,358.045584,365.075750,363.300333;359.522708;365.075750;364.385000;364.083875;364.998750;358.526875;361.329291;358.045584,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rhamming -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
bilinear,316.124875,315.241209,319.996666,314.433500,320.893625,316.124875;316.009583;319.996666;320.694417;314.532792;320.893625;316.404542;315.241209;314.433500,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
welsh,314.314917,312.792875,315.563250,311.550458,341.807875,312.792875;311.550458;341.807875;314.314917;315.991459;312.273375;314.405791;315.563250;313.103250,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rwelsh -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
bicubic,348.720709,346.615708,349.426666,342.345083,376.993875,342.345083;347.938209;376.993875;349.199333;348.720709;350.144625;349.426666;346.197916;346.615708,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbicubic -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
lanczos2,488.199042,486.526166,492.794083,482.029541,493.215250,482.029541;488.578750;488.199042;493.215250;493.040875;486.526166;492.794083;487.044459;484.073709,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rlanczos2 -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
lanczos3,605.349667,600.886000,607.323583,596.744209,620.975458,596.744209;605.739000;607.323583;608.785375;620.975458;600.617000;605.349667;600.886000;603.227208,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rlanczos3 -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
lanczos4,691.235333,685.873875,692.950208,678.702084,694.925875,678.702084;691.235333;692.950208;693.122625;685.873875;694.925875;692.234416;688.817875;683.717042,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rlanczos4 -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
