revision,platform,fixture_id,fixture_label,colors,colorspace,colorspace_label,config,label,enabled,policy,timing,rate,channel_l,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,time_ratio_vs_off,command
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,gamma,sRGB gamma,off,snap off,False,none,off,0.0,0.85,9,0.18566112499684095,0.18512745900079608,0.18592612515203655,0.18218787503428757,0.1913662920705974,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=none -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,gamma,sRGB gamma,nearest-quarter,nearest / all / rate 0.25,True,nearest,all,0.25,0.85,9,0.18691433290950954,0.18641566601581872,0.18781666597351432,0.18460766691714525,0.1907273749820888,1.0067499747870745,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=all:rate=0.25:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,gamma,sRGB gamma,nearest-once,nearest / once / rate 1,True,nearest,once,1.0,0.85,9,0.1857425421476364,0.18330516596324742,0.18584150006063282,0.18190466612577438,0.18817645800299942,1.000438525570697,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=once:rate=1:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,gamma,sRGB gamma,nearest-all,nearest / all / rate 1,True,nearest,all,1.0,0.85,9,0.184410999994725,0.18246179120615125,0.185471500037238,0.18112204200588167,0.18648004112765193,0.9932666302537096,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,gamma,sRGB gamma,reversible-all,reversible / all / rate 1,True,reversible,all,1.0,0.85,9,0.18828566721640527,0.18717566621489823,0.18958658282645047,0.18686616700142622,0.1911780838854611,1.0141361968996416,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=reversible:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,linear,linear RGB,off,snap off,False,none,off,0.0,0.85,9,0.17392270895652473,0.17265412514097989,0.1754412918817252,0.17229191586375237,0.17963045788928866,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=none -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,linear,linear RGB,nearest-quarter,nearest / all / rate 0.25,True,nearest,all,0.25,0.85,9,0.17519979202188551,0.17501216591335833,0.1771529580000788,0.17392420815303922,0.17756945895962417,1.0073428195376144,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=all:rate=0.25:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,linear,linear RGB,nearest-once,nearest / once / rate 1,True,nearest,once,1.0,0.85,9,0.1729427920654416,0.17150858393870294,0.1736110830679536,0.17091358406469226,0.17928579193539917,0.9943657910058883,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=once:rate=1:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,linear,linear RGB,nearest-all,nearest / all / rate 1,True,nearest,all,1.0,0.85,9,0.1692369170486927,0.16878108400851488,0.17188166687265038,0.16749587492085993,0.18940079188905656,0.9730581938612551,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=nearest:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
bd00a0a034ff1e8fd4f233911f686a4aed0ea9ac,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,200,linear,linear RGB,reversible-all,reversible / all / rate 1,True,reversible,all,1.0,0.85,9,0.16951212496496737,0.16760954190976918,0.1699742921628058,0.1666533751413226,0.17534795915707946,0.9746405514379386,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 200 --snap-policy=reversible:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
