revision,platform,fixture_id,fixture_label,colors,colorspace,colorspace_label,config,label,enabled,policy,timing,rate,channel_l,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,time_ratio_vs_off,command
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,gamma,sRGB gamma,off,snap off,False,none,off,0.0,0.85,9,0.0500322908628732,0.04967762506566942,0.0503301250282675,0.04915970889851451,0.051577874924987555,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=none -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,gamma,sRGB gamma,nearest-quarter,nearest / all / rate 0.25,True,nearest,all,0.25,0.85,9,0.05009787483140826,0.050055084051564336,0.05038074986077845,0.049107416067272425,0.05043670814484358,1.0013108328122495,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=all:rate=0.25:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,gamma,sRGB gamma,nearest-once,nearest / once / rate 1,True,nearest,once,1.0,0.85,9,0.04966045799665153,0.04947120789438486,0.04986175009980798,0.048759291879832745,0.05034916684962809,0.992568142297526,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=once:rate=1:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,gamma,sRGB gamma,nearest-all,nearest / all / rate 1,True,nearest,all,1.0,0.85,9,0.050114375073462725,0.04990745894610882,0.050772166112437844,0.049867042107507586,0.051149207865819335,1.001640624668067,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,gamma,sRGB gamma,reversible-all,reversible / all / rate 1,True,reversible,all,1.0,0.85,9,0.050853207940235734,0.050155290868133307,0.05112237483263016,0.05004770797677338,0.05164941702969372,1.0164077451422817,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xgamma -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=reversible:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,linear,linear RGB,off,snap off,False,none,off,0.0,0.85,9,0.05364995799027383,0.05312387482263148,0.05381833389401436,0.05284166685305536,0.054495958145707846,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=none -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,linear,linear RGB,nearest-quarter,nearest / all / rate 0.25,True,nearest,all,0.25,0.85,9,0.05398395797237754,0.05384083394892514,0.055065124994143844,0.05333204194903374,0.057682709069922566,1.0062255404219376,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=all:rate=0.25:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,linear,linear RGB,nearest-once,nearest / once / rate 1,True,nearest,once,1.0,0.85,9,0.05365587514825165,0.053385875187814236,0.05393104092217982,0.05314441700465977,0.05774795915931463,1.000110291940562,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=once:rate=1:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,linear,linear RGB,nearest-all,nearest / all / rate 1,True,nearest,all,1.0,0.85,9,0.05395474983379245,0.05342491692863405,0.054328749887645245,0.052836291026324034,0.056039500050246716,1.005681119891536,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=nearest:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
c5acbeadb10ac2d1556fb8d3a6aee0ffe589b2bd,macOS-26.5.1-arm64-arm-64bit-Mach-O,natural-snake,natural photograph,8,linear,linear RGB,reversible-all,reversible / all / rate 1,True,reversible,all,1.0,0.85,9,0.05370304104872048,0.0535454167984426,0.054035832872614264,0.05264704185537994,0.055859124986454844,1.0009894333646314,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 --merge-policy=none --cover-policy=off -Xlinear -Wlinear --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 8 --snap-policy=reversible:timing=all:rate=1:channel_l=0.85 -o {devnull} {input}
