revision,platform,input,colors,diffusion,colorspace,label,contract_value,work_format,MS-SSIM,Delta E00_mean,Delta Chroma_mean,encoded_bytes,size_ratio_vs_gamma,runs,median_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,time_ratio_vs_gamma,command
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,none,gamma,gamma sRGB,0,rgb-f32,0.872289,5.57562,5.001383,37306,1.0,7,0.05011925000871997,0.04677741650084499,0.05300950050877873,0.04618966700218152,0.05474841700925026,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 8 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,none,linear,linear RGB,1,linear-f32,0.888017,6.030578,7.036274,45941,1.231464107650244,7,0.060384124997654,0.05903170800593216,0.06312145850097295,0.05863783400855027,0.06590549999964423,1.204809030205921,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wlinear -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 8 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,none,oklab,Oklab,2,oklab-f32,0.900709,5.721641,5.691769,45117,1.2093765078003538,7,0.06546708400128409,0.06325685400224756,0.06993816650356166,0.0619509589887457,0.08147545899555553,1.3062263300008248,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Woklab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 8 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,none,cielab,CIELAB,4,cielab-f32,0.889554,5.79956,4.651206,47370,1.2697689379724442,7,0.07066187499731313,0.06555933300842298,0.07261793749785284,0.06410691699420568,0.07597924998844974,1.4098749479495216,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wcielab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 8 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,8,none,din99d,DIN99d,5,din99d-f32,0.891409,5.917225,5.979839,37004,0.9919047874336567,7,0.09330374999262858,0.08723412499966798,0.09643497900833609,0.0866939590050606,0.11480562499491498,1.8616350000527777,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wdin99d -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 8 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,16,none,gamma,gamma sRGB,0,rgb-f32,0.941437,3.88389,3.634729,61408,1.0,7,0.05425195800489746,0.05364687499968568,0.05589131200395059,0.053022624997538514,0.05773608399613295,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 16 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,16,none,linear,linear RGB,1,linear-f32,0.947882,4.028518,4.56192,72342,1.1780549765502866,7,0.06686574999184813,0.06665593750221888,0.06788270799734164,0.06650900001113769,0.07084037500317208,1.2325039030999028,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wlinear -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 16 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,16,none,oklab,Oklab,2,oklab-f32,0.95157,4.242056,4.603517,67354,1.0968277748827515,7,0.07283379200089257,0.07226110449846601,0.07370649951189989,0.07172270800219849,0.07634991699887905,1.342509923684555,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Woklab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 16 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,16,none,cielab,CIELAB,4,cielab-f32,0.942894,3.650152,3.192671,59074,0.9619919228764982,7,0.07346187499933876,0.07218527100485517,0.07477662449673517,0.0719471250049537,0.0759506249887636,1.3540870726307643,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wcielab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 16 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,16,none,din99d,DIN99d,5,din99d-f32,0.935907,3.769618,3.582321,54786,0.8921638874413758,7,0.09501487499801442,0.09456599999975879,0.09624802099278895,0.09398262499598786,0.0979222499881871,1.7513630566004124,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wdin99d -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 16 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,32,none,gamma,gamma sRGB,0,rgb-f32,0.961487,3.139964,2.667111,90439,1.0,7,0.06361658399691805,0.06297616649681004,0.06416354150132975,0.0625456249981653,0.06528037499811035,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 32 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,32,none,linear,linear RGB,1,linear-f32,0.964503,3.170771,3.190968,99244,1.0973584404958039,7,0.07562058299663477,0.0751321249990724,0.07655685400095535,0.07491891700192355,0.07769162500335369,1.1886929200772278,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wlinear -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 32 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,32,none,oklab,Oklab,2,oklab-f32,0.963497,3.353362,3.308026,101874,1.126438815112949,7,0.08055991599394474,0.0800292915009777,0.08124079150002217,0.07957600000372622,0.08227879198966548,1.2663351430162852,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Woklab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 32 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,32,none,cielab,CIELAB,4,cielab-f32,0.961824,2.953081,2.354093,88478,0.9783168765687369,7,0.08169845800148323,0.08142389549902873,0.08242450000398094,0.08122704199922737,0.08369004199630581,1.2842320801984772,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wcielab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 32 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,32,none,din99d,DIN99d,5,din99d-f32,0.956861,3.02845,2.792551,89041,0.9845420670286049,7,0.10448212499613874,0.1036950834968593,0.10495799950149376,0.10259024999686517,0.10539112499100156,1.6423724512023539,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wdin99d -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 32 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,64,none,gamma,gamma sRGB,0,rgb-f32,0.979112,2.588043,2.089345,123961,1.0,7,0.08551879199512769,0.08436391699797241,0.08643337499233894,0.08375845800037496,0.08857466600602493,1.0,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 64 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,64,none,linear,linear RGB,1,linear-f32,0.981856,2.630687,2.764084,143108,1.1544598704431233,7,0.1003973750048317,0.09868402099527884,0.10104464599862695,0.09814620799443219,0.10428116700495593,1.173980275710065,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wlinear -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 64 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,64,none,oklab,Oklab,2,oklab-f32,0.981432,2.597341,2.489079,142475,1.149353425674204,7,0.10651116700319108,0.10573577100149123,0.1079420414971537,0.10514520799915772,0.10910341700946447,1.2454709019891137,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Woklab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 64 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,64,none,cielab,CIELAB,4,cielab-f32,0.974389,2.482092,1.845783,128781,1.0388831971345827,7,0.10384820900799241,0.10333004200219875,0.10440989550988888,0.10197862499626353,0.10517833300400525,1.2143320384355876,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wcielab -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 64 {input}
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,images/snake.png,64,none,din99d,DIN99d,5,din99d-f32,0.975881,2.502881,2.42362,132533,1.0691507812941168,7,0.12902999999641906,0.12835764599731192,0.13034945850085933,0.12759470799937844,0.1316862089879578,1.5087911906399516,{img2sixel} --threads=1 --precision=float32 --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -F none -a off -Xgamma -Wdin99d -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p 64 {input}
